	time(s)		A(t)
   3.1078662e+00             NaN
   3.4891012e+00             NaN
   3.9171015e+00             NaN
   4.3976036e+00             NaN
   4.9370479e+00             NaN
   5.5426645e+00             NaN
   6.2225708e+00             NaN
   6.9858797e+00             NaN
   7.8428221e+00             NaN
   8.8048836e+00             NaN
   9.8849590e+00             NaN
   1.1097525e+01             NaN
   1.2458834e+01             NaN
   1.3987131e+01             NaN
   1.5702901e+01             NaN
   1.7629141e+01             NaN
   1.9791669e+01             NaN
   2.2219469e+01             NaN
   2.4945081e+01             NaN
   2.8005039e+01             NaN
   3.1440355e+01             NaN
   3.5297073e+01             NaN
   3.9626886e+01             NaN
   4.4487828e+01             NaN
   4.9945051e+01             NaN
   5.6071699e+01             NaN
   6.2949890e+01             NaN
   7.0671813e+01             NaN
   7.9340967e+01             NaN
   8.9073546e+01             NaN
   1.0000000e+02             NaN
