	time (s)     A(t) 		SEM 10 traj
   2.2600000e-03   4.5030000e+02   4.3051649e+00
   2.2800000e-03   4.4800000e+02   4.2031734e+00
   2.3000000e-03   4.4680000e+02   4.1413900e+00
   2.3200000e-03   4.4530000e+02   4.2610640e+00
   2.3400000e-03   4.4410000e+02   3.9733837e+00
   2.3600000e-03   4.4320000e+02   3.9994444e+00
   2.3800000e-03   4.4200000e+02   3.9721251e+00
   2.4000000e-03   4.4000000e+02   3.7148351e+00
   2.4200000e-03   4.3850000e+02   3.6247605e+00
   2.4400000e-03   4.3720000e+02   3.5677568e+00
   2.4600000e-03   4.3530000e+02   3.4223124e+00
   2.4800000e-03   4.3350000e+02   3.4001634e+00
   2.5000000e-03   4.3260000e+02   3.3770467e+00
   2.5200000e-03   4.3030000e+02   3.4158129e+00
   2.5400000e-03   4.2960000e+02   3.4357597e+00
   2.5600000e-03   4.2730000e+02   3.5591822e+00
   2.5800000e-03   4.2600000e+02   3.7564759e+00
   2.6000000e-03   4.2430000e+02   3.9610605e+00
   2.6200000e-03   4.2350000e+02   4.2694002e+00
   2.6400000e-03   4.2150000e+02   4.1666667e+00
   2.6600000e-03   4.2040000e+02   3.9333333e+00
   2.6800000e-03   4.1880000e+02   4.2105687e+00
   2.7000000e-03   4.1760000e+02   4.1718634e+00
   2.7200000e-03   4.1640000e+02   4.2168972e+00
   2.7400000e-03   4.1480000e+02   4.2578033e+00
   2.7600000e-03   4.1300000e+02   4.3919118e+00
   2.7800000e-03   4.1180000e+02   4.4517163e+00
   2.8000000e-03   4.1040000e+02   4.3184359e+00
   2.8200000e-03   4.0900000e+02   4.3512450e+00
   2.8400000e-03   4.0740000e+02   4.4800794e+00
   2.8600000e-03   4.0640000e+02   4.3107102e+00
   2.8800000e-03   4.0440000e+02   4.3466462e+00
   2.9000000e-03   4.0390000e+02   4.3396108e+00
   2.9200000e-03   4.0220000e+02   4.5504579e+00
   2.9400000e-03   4.0040000e+02   4.2353014e+00
   2.9600000e-03   3.9950000e+02   4.0722639e+00
   2.9800000e-03   3.9810000e+02   4.2017192e+00
   3.0000000e-03   3.9660000e+02   4.2379240e+00
   3.0200000e-03   3.9440000e+02   4.3873556e+00
   3.0400000e-03   3.9350000e+02   4.3595362e+00
   3.0600000e-03   3.9160000e+02   4.1236446e+00
   3.0800000e-03   3.9020000e+02   4.0683057e+00
   3.1000000e-03   3.8920000e+02   4.0792156e+00
   3.1200000e-03   3.8820000e+02   4.0518857e+00
   3.1400000e-03   3.8760000e+02   3.9163475e+00
   3.1600000e-03   3.8660000e+02   3.9135094e+00
   3.1800000e-03   3.8520000e+02   4.0436507e+00
   3.2000000e-03   3.8410000e+02   4.0012498e+00
   3.2200000e-03   3.8300000e+02   4.1365579e+00
   3.2400000e-03   3.8200000e+02   4.0824829e+00
   3.2600000e-03   3.8040000e+02   4.3645033e+00
   3.2800000e-03   3.7980000e+02   4.3609377e+00
   3.3000000e-03   3.7980000e+02   4.3071001e+00
   3.3200000e-03   3.7870000e+02   4.3257626e+00
   3.3400000e-03   3.7770000e+02   4.1447423e+00
   3.3600000e-03   3.7670000e+02   4.2349078e+00
   3.3800000e-03   3.7520000e+02   4.2630193e+00
   3.4000000e-03   3.7480000e+02   4.2026447e+00
   3.4200000e-03   3.7330000e+02   3.9722650e+00
   3.4400000e-03   3.7200000e+02   3.9805081e+00
   3.4600000e-03   3.7020000e+02   4.2026447e+00
   3.4800000e-03   3.6900000e+02   4.0797603e+00
   3.5000000e-03   3.6770000e+02   4.1016257e+00
   3.5200000e-03   3.6740000e+02   4.0911829e+00
   3.5400000e-03   3.6660000e+02   4.3210081e+00
   3.5600000e-03   3.6560000e+02   4.1904654e+00
   3.5800000e-03   3.6410000e+02   3.9340395e+00
   3.6000000e-03   3.6310000e+02   3.9956921e+00
   3.6200000e-03   3.6180000e+02   4.2290004e+00
   3.6400000e-03   3.6110000e+02   4.1645328e+00
