iter: 0
iter: 216
1	Phos: 1. 
597	A: 1. 
iter: 218
1	Phos: 1. 
601	A: 1. 
iter: 220
1	Phos: 1. 
607	A: 1. 
iter: 222
1	Phos: 1. 
611	A: 1. 
iter: 224
1	Phos: 1. 
617	A: 1. 
iter: 226
1	Phos: 1. 
617	A: 1. 
iter: 228
1	Phos: 1. 
626	A: 1. 
iter: 230
1	Phos: 1. 
633	A: 1. 
iter: 232
1	Phos: 1. 
638	A: 1. 
iter: 234
1	Phos: 1. 
643	A: 1. 
iter: 236
1	Phos: 1. 
651	A: 1. 
iter: 238
1	Phos: 1. 
657	A: 1. 
iter: 240
1	Phos: 1. 
664	A: 1. 
iter: 242
1	Phos: 1. 
670	A: 1. 
iter: 244
1	Phos: 1. 
672	A: 1. 
iter: 246
1	Phos: 1. 
676	A: 1. 
iter: 248
1	Phos: 1. 
685	A: 1. 
iter: 250
1	Phos: 1. 
696	A: 1. 
iter: 252
1	Phos: 1. 
699	A: 1. 
iter: 254
1	Phos: 1. 
701	A: 1. 
iter: 256
1	Phos: 1. 
707	A: 1. 
iter: 258
1	Phos: 1. 
717	A: 1. 
iter: 260
1	Phos: 1. 
726	A: 1. 
iter: 262
1	Phos: 1. 
728	A: 1. 
iter: 264
1	Phos: 1. 
736	A: 1. 
iter: 266
1	Phos: 1. 
742	A: 1. 
iter: 268
1	Phos: 1. 
748	A: 1. 
iter: 270
1	Phos: 1. 
754	A: 1. 
iter: 272
1	Phos: 1. 
764	A: 1. 
iter: 274
1	Phos: 1. 
767	A: 1. 
iter: 276
1	Phos: 1. 
775	A: 1. 
iter: 278
1	Phos: 1. 
778	A: 1. 
iter: 280
1	Phos: 1. 
784	A: 1. 
iter: 282
1	Phos: 1. 
791	A: 1. 
iter: 284
1	Phos: 1. 
795	A: 1. 
iter: 286
1	Phos: 1. 
799	A: 1. 
iter: 288
1	Phos: 1. 
803	A: 1. 
iter: 290
1	Phos: 1. 
806	A: 1. 
iter: 292
1	Phos: 1. 
812	A: 1. 
iter: 294
1	Phos: 1. 
820	A: 1. 
iter: 296
1	Phos: 1. 
820	A: 1. 
iter: 298
1	Phos: 1. 
826	A: 1. 
iter: 300
1	Phos: 1. 
834	A: 1. 
iter: 302
1	Phos: 1. 
837	A: 1. 
iter: 304
1	Phos: 1. 
844	A: 1. 
iter: 306
1	Phos: 1. 
846	A: 1. 
iter: 308
1	Phos: 1. 
849	A: 1. 
iter: 310
1	Phos: 1. 
855	A: 1. 
iter: 312
1	Phos: 1. 
857	A: 1. 
iter: 314
1	Phos: 1. 
860	A: 1. 
iter: 316
1	Phos: 1. 
864	A: 1. 
iter: 318
1	Phos: 1. 
868	A: 1. 
iter: 320
1	Phos: 1. 
873	A: 1. 
iter: 322
1	Phos: 1. 
877	A: 1. 
iter: 324
1	Phos: 1. 
882	A: 1. 
iter: 326
1	Phos: 1. 
886	A: 1. 
iter: 328
1	Phos: 1. 
887	A: 1. 
iter: 330
1	Phos: 1. 
893	A: 1. 
iter: 332
1	Phos: 1. 
898	A: 1. 
iter: 334
1	Phos: 1. 
906	A: 1. 
iter: 336
1	Phos: 1. 
910	A: 1. 
iter: 338
1	Phos: 1. 
915	A: 1. 
iter: 340
1	Phos: 1. 
921	A: 1. 
iter: 342
1	Phos: 1. 
924	A: 1. 
iter: 344
1	Phos: 1. 
930	A: 1. 
iter: 346
1	Phos: 1. 
936	A: 1. 
iter: 348
1	Phos: 1. 
939	A: 1. 
iter: 350
1	Phos: 1. 
942	A: 1. 
iter: 352
1	Phos: 1. 
946	A: 1. 
iter: 354
1	Phos: 1. 
950	A: 1. 
iter: 356
1	Phos: 1. 
955	A: 1. 
iter: 358
1	Phos: 1. 
963	A: 1. 
iter: 360
1	Phos: 1. 
966	A: 1. 
iter: 362
1	Phos: 1. 
973	A: 1. 
iter: 364
1	Phos: 1. 
978	A: 1. 
iter: 366
1	Phos: 1. 
983	A: 1. 
iter: 368
1	Phos: 1. 
988	A: 1. 
iter: 370
1	Phos: 1. 
991	A: 1. 
iter: 372
1	Phos: 1. 
999	A: 1. 
iter: 374
1	Phos: 1. 
1007	A: 1. 
iter: 376
1	Phos: 1. 
1015	A: 1. 
iter: 378
1	Phos: 1. 
1023	A: 1. 
iter: 380
1	Phos: 1. 
1025	A: 1. 
iter: 382
1	Phos: 1. 
1029	A: 1. 
iter: 384
1	Phos: 1. 
1032	A: 1. 
iter: 386
1	Phos: 1. 
1035	A: 1. 
iter: 388
1	Phos: 1. 
1037	A: 1. 
iter: 390
1	Phos: 1. 
1044	A: 1. 
iter: 392
1	Phos: 1. 
1050	A: 1. 
iter: 394
1	Phos: 1. 
