 ITER: TIME (us) 	MONO:A	DIMERS W:A	MONO:Phos	DIMERS W:Phos	
476	238	1286	0	1	0	
478	239	1293	0	1	0	
480	240	1302	0	1	0	
482	241	1306	0	1	0	
484	242	1310	0	1	0	
486	243	1317	0	1	0	
488	244	1318	0	1	0	
490	245	1329	0	1	0	
492	246	1336	0	1	0	
494	247	1339	0	1	0	
496	248	1344	0	1	0	
498	249	1350	0	1	0	
500	250	1359	0	1	0	
502	251	1364	0	1	0	
504	252	1366	0	1	0	
506	253	1370	0	1	0	
508	254	1376	0	1	0	
510	255	1381	0	1	0	
512	256	1386	0	1	0	
514	257	1391	0	1	0	
516	258	1393	0	1	0	
518	259	1396	0	1	0	
520	260	1397	0	1	0	
522	261	1403	0	1	0	
524	262	1407	0	1	0	
526	263	1417	0	1	0	
528	264	1426	0	1	0	
530	265	1431	0	1	0	
532	266	1437	0	1	0	
534	267	1439	0	1	0	
536	268	1445	0	1	0	
538	269	1450	0	1	0	
540	270	1461	0	1	0	
542	271	1470	0	1	0	
544	272	1474	0	1	0	
546	273	1479	0	1	0	
548	274	1487	0	1	0	
550	275	1492	0	1	0	
552	276	1498	0	1	0	
554	277	1504	0	1	0	
556	278	1506	0	1	0	
558	279	1515	0	1	0	
560	280	1518	0	1	0	
562	281	1521	0	1	0	
564	282	1528	0	1	0	
566	283	1529	0	1	0	
568	284	1535	0	1	0	
570	285	1538	0	1	0	
572	286	1541	0	1	0	
574	287	1542	0	1	0	
576	288	1543	0	1	0	
578	289	1547	0	1	0	
580	290	1553	0	1	0	
582	291	1560	0	1	0	
584	292	1564	0	1	0	
586	293	1570	0	1	0	
588	294	1571	0	1	0	
590	295	1578	0	1	0	
592	296	1586	0	1	0	
594	297	1591	0	1	0	
596	298	1592	0	1	0	
598	299	1597	0	1	0	
600	300	1603	0	1	0	
602	301	1610	0	1	0	
604	302	1617	0	1	0	
606	303	1621	0	1	0	
608	304	1632	0	1	0	
610	305	1633	0	1	0	
612	306	1637	0	1	0	
614	307	1641	0	1	0	
616	308	1642	0	1	0	
618	309	1649	0	1	0	
620	310	1651	0	1	0	
622	311	1657	0	1	0	
624	312	1660	0	1	0	
626	313	1663	0	1	0	
628	314	1663	0	1	0	
630	315	1669	0	1	0	
632	316	1674	0	1	0	
634	317	1676	0	1	0	
636	318	1682	0	1	0	
638	319	1684	0	1	0	
640	320	1692	0	1	0	
642	321	1697	0	1	0	
644	322	1700	0	1	0	
646	323	1706	0	1	0	
648	324	1710	0	1	0	
650	325	1714	0	1	0	
652	326	1719	0	1	0	
654	327	1719	0	1	0	
656	328	1718	0	1	0	
658	329	1721	0	1	0	
660	330	1726	0	1	0	
662	331	1734	0	1	0	
664	332	1740	0	1	0	
666	333	1746	0	1	0	
668	334	1751	0	1	0	
670	335	1755	0	1	0	
672	336	1768	0	1	0	
674	337	1774	0	1	0	
676	338	1782	0	1	0	
678	339	1785	0	1	0	
680	340	1792	0	1	0	
682	341	1799	0	1	0	
684	342	1807	0	1	0	
686	343	1814	0	1	0	
688	344	1821	0	1	0	
690	345	1828	0	1	0	
692	346	1833	0	1	0	
694	347	1836	0	1	0	
696	348	1845	0	1	0	
698	349	1851	0	1	0	
700	350	1853	0	1	0	
702	351	1860	0	1	0	
704	352	1864	0	1	0	
706	353	1869	0	1	0	
708	354	1871	0	1	0	
710	355	1875	0	1	0	
712	356	1879	0	1	0	
714	357	1882	0	1	0	
716	358	1882	0	1	0	
718	359	1888	0	1	0	
720	360	1893	0	1	0	
722	361	1898	0	1	0	
724	362	1902	0	1	0	
726	363	1908	0	1	0	
728	364	1914	0	1	0	
730	365	1924	0	1	0	
732	366	1932	0	1	0	
734	367	1936	0	1	0	
736	368	1943	0	1	0	
738	369	1950	0	1	0	
740	370	1954	0	1	0	
742	371	1957	0	1	0	
744	372	1963	0	1	0	
746	373	1973	0	1	0	
748	374	1974	0	1	0	
750	375	1979	0	1	0	
752	376	1982	0	1	0	
754	377	1987	0	1	0	
756	378	1992	0	1	0	
758	379	2000	0	1	0	
760	380	2004	0	1	0	
762	381	2007	0	1	0	
764	382	2010	0	1	0	
766	383	2015	0	1	0	
