     time (us)      	MABM		AB		AM		BM		A		B		ABM		M
   3.8000000e+03   4.1666667e-02   1.8750000e-01   2.0416667e+01   1.9750000e+01   6.4435417e+02   6.4502083e+02   0.0000000e+00   3.7147500e+03
   3.9000000e+03   4.1666667e-02   1.8750000e-01   2.0979167e+01   2.0062500e+01   6.4379167e+02   6.4470833e+02   0.0000000e+00   3.7138750e+03
   4.0000000e+03   4.1666667e-02   1.8750000e-01   2.1270833e+01   2.0416667e+01   6.4350000e+02   6.4435417e+02   0.0000000e+00   3.7132292e+03
   4.1000000e+03   4.1666667e-02   1.8750000e-01   2.1916667e+01   2.0916667e+01   6.4285417e+02   6.4385417e+02   0.0000000e+00   3.7120833e+03
   4.2000000e+03   6.2500000e-02   1.8750000e-01   2.2416667e+01   2.1458333e+01   6.4233333e+02   6.4329167e+02   0.0000000e+00   3.7110000e+03
   4.3000000e+03   6.2500000e-02   1.8750000e-01   2.2729167e+01   2.1854167e+01   6.4202083e+02   6.4289583e+02   0.0000000e+00   3.7102917e+03
   4.4000000e+03   6.2500000e-02   1.8750000e-01   2.3166667e+01   2.2333333e+01   6.4158333e+02   6.4241667e+02   0.0000000e+00   3.7093750e+03
   4.5000000e+03   6.2500000e-02   1.8750000e-01   2.3666667e+01   2.2875000e+01   6.4108333e+02   6.4187500e+02   0.0000000e+00   3.7083333e+03
   4.6000000e+03   8.3333333e-02   1.8750000e-01   2.3937500e+01   2.3250000e+01   6.4079167e+02   6.4147917e+02   0.0000000e+00   3.7076458e+03
   4.7000000e+03   8.3333333e-02   1.8750000e-01   2.4437500e+01   2.3687500e+01   6.4029167e+02   6.4104167e+02   0.0000000e+00   3.7067083e+03
   4.8000000e+03   1.0416667e-01   1.8750000e-01   2.4791667e+01   2.4041667e+01   6.3991667e+02   6.4066667e+02   0.0000000e+00   3.7059583e+03
   4.9000000e+03   1.2500000e-01   2.0833333e-01   2.5145833e+01   2.4520833e+01   6.3952083e+02   6.4014583e+02   0.0000000e+00   3.7050833e+03
   5.0000000e+03   1.4583333e-01   2.0833333e-01   2.5583333e+01   2.4854167e+01   6.3906250e+02   6.3979167e+02   0.0000000e+00   3.7042708e+03
   5.1000000e+03   1.6666667e-01   2.0833333e-01   2.6062500e+01   2.5375000e+01   6.3856250e+02   6.3925000e+02   0.0000000e+00   3.7032292e+03
   5.2000000e+03   1.8750000e-01   2.0833333e-01   2.6437500e+01   2.5666667e+01   6.3816667e+02   6.3893750e+02   0.0000000e+00   3.7025208e+03
   5.3000000e+03   1.8750000e-01   2.0833333e-01   2.6937500e+01   2.6270833e+01   6.3766667e+02   6.3833333e+02   0.0000000e+00   3.7014167e+03
   5.4000000e+03   1.8750000e-01   2.0833333e-01   2.7458333e+01   2.6708333e+01   6.3714583e+02   6.3789583e+02   0.0000000e+00   3.7004583e+03
   5.5000000e+03   1.8750000e-01   2.0833333e-01   2.7937500e+01   2.7104167e+01   6.3666667e+02   6.3750000e+02   0.0000000e+00   3.6995833e+03
   5.6000000e+03   2.0833333e-01   2.2916667e-01   2.8291667e+01   2.7583333e+01   6.3627083e+02   6.3697917e+02   0.0000000e+00   3.6987083e+03
   5.7000000e+03   2.5000000e-01   2.2916667e-01   2.8750000e+01   2.7916667e+01   6.3577083e+02   6.3660417e+02   0.0000000e+00   3.6978333e+03
   5.8000000e+03   2.7083333e-01   2.2916667e-01   2.9187500e+01   2.8270833e+01   6.3531250e+02   6.3622917e+02   0.0000000e+00   3.6970000e+03
