	time (s)	A		B		M		AM		BM		MAB		ABM		AB		MABM
   2.1911967e-04   9.9111377e+01   9.9111377e+01   3.7533062e+03   8.9034603e-01   8.9034603e-01   2.2436405e-06   2.2436405e-06   5.8493795e-04   1.0142344e-06
   2.2423397e-04   9.9073315e+01   9.9073315e+01   3.7532301e+03   9.2838230e-01   9.2838230e-01   2.3722645e-06   2.3722645e-06   6.0958268e-04   1.6734446e-06
   2.2946764e-04   9.9034381e+01   9.9034381e+01   3.7531523e+03   9.6729024e-01   9.6729024e-01   2.5038585e-06   2.5038585e-06   6.3476406e-04   2.5253591e-06
   2.3482346e-04   9.8994555e+01   9.8994555e+01   3.7530727e+03   1.0070894e+00   1.0070894e+00   2.6384904e-06   2.6384904e-06   6.6049278e-04   3.5828494e-06
   2.4030429e-04   9.8953817e+01   9.8953817e+01   3.7529913e+03   1.0477999e+00   1.0477999e+00   2.7762295e-06   2.7762295e-06   6.8677972e-04   4.8594831e-06
   2.4591304e-04   9.8912146e+01   9.8912146e+01   3.7529080e+03   1.0894420e+00   1.0894420e+00   2.9171467e-06   2.9171467e-06   7.1363590e-04   6.3695584e-06
   2.5165271e-04   9.8869522e+01   9.8869522e+01   3.7528228e+03   1.1320368e+00   1.1320368e+00   3.0613144e-06   3.0613144e-06   7.4107253e-04   8.1281412e-06
   2.5752633e-04   9.8825923e+01   9.8825923e+01   3.7527356e+03   1.1756054e+00   1.1756054e+00   3.2088066e-06   3.2088066e-06   7.6910096e-04   1.0151103e-05
   2.6353705e-04   9.8781327e+01   9.8781327e+01   3.7526465e+03   1.2201696e+00   1.2201696e+00   3.3596992e-06   3.3596992e-06   7.9773270e-04   1.2455161e-05
   2.6968806e-04   9.8735713e+01   9.8735713e+01   3.7525553e+03   1.2657518e+00   1.2657518e+00   3.5140693e-06   3.5140693e-06   8.2697944e-04   1.5057922e-05
   2.7598264e-04   9.8689057e+01   9.8689057e+01   3.7524621e+03   1.3123745e+00   1.3123745e+00   3.6719961e-06   3.6719961e-06   8.5685301e-04   1.7977924e-05
   2.8242413e-04   9.8641336e+01   9.8641336e+01   3.7523667e+03   1.3600610e+00   1.3600610e+00   3.8335604e-06   3.8335604e-06   8.8736542e-04   2.1234684e-05
   2.8901597e-04   9.8592527e+01   9.8592527e+01   3.7522691e+03   1.4088351e+00   1.4088351e+00   3.9988449e-06   3.9988449e-06   9.1852880e-04   2.4848748e-05
   2.9576167e-04   9.8542605e+01   9.8542605e+01   3.7521694e+03   1.4587207e+00   1.4587207e+00   4.1679339e-06   4.1679339e-06   9.5035548e-04   2.8841738e-05
   3.0266481e-04   9.8491546e+01   9.8491546e+01   3.7520673e+03   1.5097427e+00   1.5097427e+00   4.3409138e-06   4.3409138e-06   9.8285789e-04   3.3236410e-05
   3.0972907e-04   9.8439324e+01   9.8439324e+01   3.7519629e+03   1.5619262e+00   1.5619262e+00   4.5178727e-06   4.5178727e-06   1.0160487e-03   3.8056708e-05
   3.1695821e-04   9.8385914e+01   9.8385914e+01   3.7518562e+03   1.6152969e+00   1.6152969e+00   4.6989008e-06   4.6989008e-06   1.0499405e-03   4.3327822e-05
   3.2435608e-04   9.8331289e+01   9.8331289e+01   3.7517470e+03   1.6698811e+00   1.6698811e+00   4.8840901e-06   4.8840901e-06   1.0845463e-03   4.9076252e-05
   3.3192662e-04   9.8275423e+01   9.8275423e+01   3.7516353e+03   1.7257057e+00   1.7257057e+00   5.0735347e-06   5.0735347e-06   1.1198792e-03   5.5329868e-05
   3.3967386e-04   9.8218287e+01   9.8218287e+01   3.7515211e+03   1.7827979e+00   1.7827979e+00   5.2673308e-06   5.2673308e-06   1.1559522e-03   6.2117985e-05
   3.4760192e-04   9.8159855e+01   9.8159855e+01   3.7514044e+03   1.8411857e+00   1.8411857e+00   5.4655766e-06   5.4655766e-06   1.1927786e-03   6.9471424e-05
   3.5571502e-04   9.8100097e+01   9.8100097e+01   3.7512849e+03   1.9008976e+00   1.9008976e+00   5.6683726e-06   5.6683726e-06   1.2303719e-03   7.7422598e-05
   3.6401748e-04   9.8038984e+01   9.8038984e+01   3.7511628e+03   1.9619626e+00   1.9619626e+00   5.8758213e-06   5.8758213e-06   1.2687456e-03   8.6005580e-05
