	time (s)	A		B		M		AM		BM		MAB		ABM		AB		MABM
   3.2585625e-03   7.9012223e+01   7.9012223e+01   3.7131265e+03   2.0882882e+01   2.0882882e+01   5.8732177e-05   5.8732177e-05   9.8424545e-03   9.7248726e-02
   3.3346180e-03   7.8568595e+01   7.8568595e+01   3.7122395e+03   2.1319805e+01   2.1319805e+01   5.9757539e-05   5.9757539e-05   9.9658204e-03   1.0382838e-01
   3.4124487e-03   7.8117329e+01   7.8117329e+01   3.7113372e+03   2.1763934e+01   2.1763934e+01   6.0797555e-05   6.0797555e-05   1.0087990e-02   1.1084114e-01
   3.4920960e-03   7.7658341e+01   7.7658341e+01   3.7104195e+03   2.2215321e+01   2.2215321e+01   6.1850335e-05   6.1850335e-05   1.0208900e-02   1.1831932e-01
   3.5736022e-03   7.7191583e+01   7.7191583e+01   3.7094862e+03   2.2673989e+01   2.2673989e+01   6.2915634e-05   6.2915634e-05   1.0328327e-02   1.2628804e-01
   3.6570109e-03   7.6717013e+01   7.6717013e+01   3.7085373e+03   2.3139953e+01   2.3139953e+01   6.3993175e-05   6.3993175e-05   1.0446033e-02   1.3477366e-01
   3.7423663e-03   7.6234607e+01   7.6234607e+01   3.7075727e+03   2.3613215e+01   2.3613215e+01   6.5084903e-05   6.5084903e-05   1.0561707e-02   1.4379934e-01
   3.8297139e-03   7.5744274e+01   7.5744274e+01   3.7065923e+03   2.4093830e+01   2.4093830e+01   6.6195733e-05   6.6195733e-05   1.0675337e-02   1.5340198e-01
   3.9191002e-03   7.5245902e+01   7.5245902e+01   3.7055958e+03   2.4581857e+01   2.4581857e+01   6.7320571e-05   6.7320571e-05   1.0787012e-02   1.6363350e-01
   4.0105729e-03   7.4739466e+01   7.4739466e+01   3.7045831e+03   2.5077287e+01   2.5077287e+01   6.8459181e-05   6.8459181e-05   1.0896469e-02   1.7452768e-01
   4.1041805e-03   7.4224945e+01   7.4224945e+01   3.7035543e+03   2.5580106e+01   2.5580106e+01   6.9611294e-05   6.9611294e-05   1.1003428e-02   1.8612001e-01
   4.1999729e-03   7.3702329e+01   7.3702329e+01   3.7025093e+03   2.6090289e+01   2.6090289e+01   7.0776778e-05   7.0776778e-05   1.1107587e-02   1.9844737e-01
   4.2980012e-03   7.3171608e+01   7.3171608e+01   3.7014480e+03   2.6607813e+01   2.6607813e+01   7.1968355e-05   7.1968355e-05   1.1208636e-02   2.1153938e-01
   4.3983175e-03   7.2632609e+01   7.2632609e+01   3.7003702e+03   2.7132775e+01   2.7132775e+01   7.3177393e-05   7.3177393e-05   1.1306973e-02   2.2547548e-01
   4.5009751e-03   7.2085333e+01   7.2085333e+01   3.6992759e+03   2.7665129e+01   2.7665129e+01   7.4403811e-05   7.4403811e-05   1.1402295e-02   2.4030078e-01
   4.6060288e-03   7.1529788e+01   7.1529788e+01   3.6981650e+03   2.8204817e+01   2.8204817e+01   7.5647503e-05   7.5647504e-05   1.1494282e-02   2.5606268e-01
   4.7135345e-03   7.0965996e+01   7.0965996e+01   3.6970376e+03   2.8751770e+01   2.8751770e+01   7.6908337e-05   7.6908337e-05   1.1582593e-02   2.7281092e-01
   4.8235494e-03   7.0394011e+01   7.0394011e+01   3.6958938e+03   2.9305895e+01   2.9305895e+01   7.8197471e-05   7.8197471e-05   1.1666759e-02   2.9058431e-01
   4.9361321e-03   6.9813647e+01   6.9813647e+01   3.6947332e+03   2.9867288e+01   2.9867288e+01   7.9512837e-05   7.9512837e-05   1.1747264e-02   3.0947280e-01
   5.0513425e-03   6.9224897e+01   6.9224897e+01   3.6935559e+03   3.0435886e+01   3.0435886e+01   8.0851092e-05   8.0851092e-05   1.1823932e-02   3.2954537e-01
   5.1692419e-03   6.8627809e+01   6.8627809e+01   3.6923618e+03   3.1011579e+01   3.1011579e+01   8.2212402e-05   8.2212402e-05   1.1896402e-02   3.5086474e-01
   5.2898931e-03   6.8022444e+01   6.8022444e+01   3.6911512e+03   3.1594242e+01   3.1594242e+01   8.3596919e-05   8.3596919e-05   1.1964295e-02   3.7349678e-01
   5.4133603e-03   6.7408916e+01   6.7408916e+01   3.6899243e+03   3.2183701e+01   3.2183701e+01   8.5012223e-05   8.5012223e-05   1.2027056e-02   3.9749925e-01
   5.5397093e-03   6.6787100e+01   6.6787100e+01   3.6886808e+03   3.2779995e+01   3.2779995e+01   8.6467104e-05   8.6467104e-05   1.2084999e-02   4.2296085e-01
   5.6690073e-03   6.6156919e+01   6.6156919e+01   3.6874205e+03   3.3383095e+01   3.3383095e+01   8.7953303e-05   8.7953303e-05   1.2138303e-02   4.4998531e-01
   5.8013231e-03   6.5518470e+01   6.5518470e+01   3.6861437e+03   3.3992824e+01   3.3992824e+01   8.9471426e-05   8.9471426e-05   1.2186577e-02   4.7865485e-01
   5.9367272e-03   6.4871862e+01   6.4871862e+01   3.6848506e+03   3.4608985e+01   3.4608985e+01   9.1022088e-05   9.1022088e-05   1.2229407e-02   5.0905575e-01
   6.0752917e-03   6.4217236e+01   6.4217236e+01   3.6835414e+03   3.5231350e+01   3.5231350e+01   9.2607033e-05   9.2607033e-05   1.2266318e-02   5.4127668e-01
   6.2170903e-03   6.3554695e+01   6.3554695e+01   3.6822164e+03   3.5859741e+01   3.5859741e+01   9.4250381e-05   9.4250381e-05   1.2296956e-02   5.7539289e-01
   6.3621985e-03   6.2883964e+01   6.2883964e+01   3.6808750e+03   3.6494284e+01   3.6494284e+01   9.5937290e-05   9.5937290e-05   1.2322239e-02   6.1155110e-01
   6.5106936e-03   6.2205197e+01   6.2205197e+01   3.6795175e+03   3.7134722e+01   3.7134722e+01   9.7669023e-05   9.7669023e-05   1.2341754e-02   6.4985779e-01
   6.6626545e-03   6.1518565e+01   6.1518565e+01   3.6781443e+03   3.7780770e+01   3.7780770e+01   9.9446884e-05   9.9446884e-05   1.2355068e-02   6.9042471e-01
   6.8181623e-03   6.0824261e+01   6.0824261e+01   3.6767557e+03   3.8432119e+01   3.8432119e+01   1.0127222e-04   1.0127222e-04   1.2361720e-02   7.3336913e-01
   6.9772996e-03   6.0122574e+01   6.0122574e+01   3.6753523e+03   3.9088380e+01   3.9088380e+01   1.0316565e-04   1.0316565e-04   1.2360995e-02   7.7879192e-01
   7.1401513e-03   5.9413185e+01   5.9413185e+01   3.6739335e+03   3.9749725e+01   3.9749725e+01   1.0512770e-04   1.0512770e-04   1.2353963e-02   8.2683945e-01
   7.3068040e-03   5.8696176e+01   5.8696176e+01   3.6724995e+03   4.0415923e+01   4.0415923e+01   1.0715257e-04   1.0715257e-04   1.2340604e-02   8.7766004e-01
   7.4773463e-03   5.7971791e+01   5.7971791e+01   3.6710507e+03   4.1086587e+01   4.1086587e+01   1.0924254e-04   1.0924254e-04   1.2320477e-02   9.3139640e-01
   7.6518692e-03   5.7240302e+01   5.7240302e+01   3.6695877e+03   4.1761298e+01   4.1761298e+01   1.1139997e-04   1.1139997e-04   1.2293121e-02   9.8819827e-01
   7.8304654e-03   5.6502081e+01   5.6502081e+01   3.6681112e+03   4.2439531e+01   4.2439531e+01   1.1363503e-04   1.1363503e-04   1.2257844e-02   1.0482156e+00
   8.0132301e-03   5.5757111e+01   5.5757111e+01   3.6666211e+03   4.3121176e+01   4.3121176e+01   1.1597391e-04   1.1597391e-04   1.2214957e-02   1.1115802e+00
   8.2002606e-03   5.5005139e+01   5.5005139e+01   3.6651171e+03   4.3806297e+01   4.3806297e+01   1.1839974e-04   1.1839974e-04   1.2165444e-02   1.1784758e+00
   8.3916564e-03   5.4246493e+01   5.4246493e+01   3.6635997e+03   4.4494388e+01   4.4494388e+01   1.2091609e-04   1.2091609e-04   1.2108884e-02   1.2490814e+00
   8.5875195e-03   5.3481532e+01   5.3481532e+01   3.6620696e+03   4.5184904e+01   4.5184904e+01   1.2352667e-04   1.2352667e-04   1.2044835e-02   1.3235853e+00
   8.7879540e-03   5.2710645e+01   5.2710645e+01   3.6605277e+03   4.5877259e+01   4.5877259e+01   1.2623536e-04   1.2623536e-04   1.1972830e-02   1.4021847e+00
   8.9930667e-03   5.1934371e+01   5.1934371e+01   3.6589750e+03   4.6570735e+01   4.6570735e+01   1.2907765e-04   1.2907765e-04   1.1892094e-02   1.4850566e+00
   9.2029668e-03   5.1152082e+01   5.1152082e+01   3.6574103e+03   4.7265807e+01   4.7265807e+01   1.3204608e-04   1.3204608e-04   1.1804427e-02   1.5723554e+00
   9.4177660e-03   5.0364038e+01   5.0364038e+01   3.6558340e+03   4.7961994e+01   4.7961994e+01   1.3513769e-04   1.3513769e-04   1.1709804e-02   1.6643009e+00
   9.6375787e-03   4.9570695e+01   4.9570695e+01   3.6542471e+03   4.8658609e+01   4.8658609e+01   1.3835789e-04   1.3835789e-04   1.1607829e-02   1.7611246e+00
   9.8625218e-03   4.8772548e+01   4.8772548e+01   3.6526506e+03   4.9354915e+01   4.9354915e+01   1.4171237e-04   1.4171237e-04   1.1498088e-02   1.8630694e+00
   1.0092715e-02   4.7970276e+01   4.7970276e+01   3.6510458e+03   5.0049974e+01   5.0049974e+01   1.4521791e-04   1.4521791e-04   1.1379878e-02   1.9703940e+00
   1.0328281e-02   4.7163827e+01   4.7163827e+01   3.6494327e+03   5.0743685e+01   5.0743685e+01   1.4890920e-04   1.4890920e-04   1.1253790e-02   2.0832493e+00
   1.0569346e-02   4.6352749e+01   4.6352749e+01   3.6478103e+03   5.1436320e+01   5.1436320e+01   1.5276380e-04   1.5276380e-04   1.1121268e-02   2.2018179e+00
   1.0816036e-02   4.5537604e+01   4.5537604e+01   3.6461797e+03   5.2127036e+01   5.2127036e+01   1.5678917e-04   1.5678917e-04   1.0981995e-02   2.3263788e+00
   1.1068485e-02   4.4718998e+01   4.4718998e+01   3.6445422e+03   5.2814934e+01   5.2814934e+01   1.6099312e-04   1.6099312e-04   1.0835641e-02   2.4572239e+00
   1.1326826e-02   4.3897585e+01   4.3897585e+01   3.6428991e+03   5.3499056e+01   5.3499056e+01   1.6538380e-04   1.6538380e-04   1.0681861e-02   2.5946595e+00
   1.1591196e-02   4.3074320e+01   4.3074320e+01   3.6412523e+03   5.4178131e+01   5.4178131e+01   1.7000383e-04   1.7000383e-04   1.0519886e-02   2.7390035e+00
   1.1861737e-02   4.2248171e+01   4.2248171e+01   3.6395996e+03   5.4853158e+01   5.4853158e+01   1.7485029e-04   1.7485029e-04   1.0351805e-02   2.8902831e+00
   1.2138593e-02   4.1419365e+01   4.1419365e+01   3.6379417e+03   5.5523644e+01   5.5523644e+01   1.7991667e-04   1.7991667e-04   1.0178055e-02   3.0487661e+00
   1.2421910e-02   4.0588626e+01   4.0588626e+01   3.6362799e+03   5.6188524e+01   5.6188524e+01   1.8521314e-04   1.8521314e-04   9.9984199e-03   3.2147940e+00
   1.2711840e-02   3.9756731e+01   3.9756731e+01   3.6346157e+03   5.6846664e+01   5.6846664e+01   1.9075037e-04   1.9075037e-04   9.8126763e-03   3.3887245e+00
   1.3008537e-02   3.8924527e+01   3.8924527e+01   3.6329509e+03   5.7496838e+01   5.7496838e+01   1.9654010e-04   1.9654010e-04   9.6205755e-03   3.5709349e+00
   1.3312159e-02   3.8092922e+01   3.8092922e+01   3.6312873e+03   5.8137828e+01   5.8137828e+01   2.0264759e-04   2.0264759e-04   9.4217348e-03   3.7617367e+00
   1.3622868e-02   3.7260187e+01   3.7260187e+01   3.6296215e+03   5.8771506e+01   5.8771506e+01   2.0902887e-04   2.0902887e-04   9.2187303e-03   3.9609842e+00
   1.3940828e-02   3.6427159e+01   3.6427159e+01   3.6279550e+03   5.9396649e+01   5.9396649e+01   2.1569653e-04   2.1569653e-04   9.0114874e-03   4.1690629e+00
   1.4266210e-02   3.5594737e+01   3.5594737e+01   3.6262898e+03   6.0011955e+01   6.0011955e+01   2.2266375e-04   2.2266375e-04   8.7999307e-03   4.3863765e+00
   1.4599187e-02   3.4763880e+01   3.4763880e+01   3.6246276e+03   6.0616043e+01   6.0616043e+01   2.2994431e-04   2.2994431e-04   8.5839843e-03   4.6133472e+00
   1.4939935e-02   3.3935972e+01   3.3935972e+01   3.6229714e+03   6.1207010e+01   6.1207010e+01   2.3756880e-04   2.3756880e-04   8.3632887e-03   4.8504935e+00
   1.5288636e-02   3.3110596e+01   3.3110596e+01   3.6213202e+03   6.1785289e+01   6.1785289e+01   2.4557016e-04   2.4557016e-04   8.1386931e-03   5.0977980e+00
   1.5645476e-02   3.2286581e+01   3.2286581e+01   3.6196717e+03   6.2352173e+01   6.2352173e+01   2.5391462e-04   2.5391462e-04   7.9118029e-03   5.3551393e+00
   1.6010645e-02   3.1464932e+01   3.1464932e+01   3.6180280e+03   6.2906221e+01   6.2906221e+01   2.6261755e-04   2.6261755e-04   7.6827037e-03   5.6229527e+00
   1.6384336e-02   3.0646724e+01   3.0646724e+01   3.6163911e+03   6.3445901e+01   6.3445901e+01   2.7169506e-04   2.7169506e-04   7.4514896e-03   5.9016938e+00
   1.6766750e-02   2.9833106e+01   2.9833106e+01   3.6147635e+03   6.3969589e+01   6.3969589e+01   2.8116400e-04   2.8116400e-04   7.2182640e-03   6.1918384e+00
   1.7158090e-02   2.9025893e+01   2.9025893e+01   3.6131486e+03   6.4474821e+01   6.4474821e+01   2.9106701e-04   2.9106701e-04   6.9828341e-03   6.4940348e+00
   1.7558563e-02   2.8223533e+01   2.8223533e+01   3.6115434e+03   6.4963587e+01   6.4963587e+01   3.0140693e-04   3.0140693e-04   6.7462859e-03   6.8078446e+00
   1.7968384e-02   2.7425153e+01   2.7425153e+01   3.6099462e+03   6.5436904e+01   6.5436904e+01   3.1215773e-04   3.1215773e-04   6.5096782e-03   7.1331229e+00
   1.8387770e-02   2.6631918e+01   2.6631918e+01   3.6083593e+03   6.5893143e+01   6.5893143e+01   3.2333703e-04   3.2333703e-04   6.2732676e-03   7.4703328e+00
   1.8816944e-02   2.5845071e+01   2.5845071e+01   3.6067851e+03   6.6330578e+01   6.6330578e+01   3.3496319e-04   3.3496319e-04   6.0373287e-03   7.8199579e+00
   1.9256136e-02   2.5065937e+01   2.5065937e+01   3.6052264e+03   6.6747378e+01   6.6747378e+01   3.4705544e-04   3.4705544e-04   5.8021555e-03   8.1825025e+00
   1.9705578e-02   2.4296708e+01   2.4296708e+01   3.6036875e+03   6.7140593e+01   6.7140593e+01   3.5965824e-04   3.5965824e-04   5.5678605e-03   8.5587253e+00
   2.0165510e-02   2.3535116e+01   2.3535116e+01   3.6021639e+03   6.7513311e+01   6.7513311e+01   3.7275497e-04   3.7275497e-04   5.3350206e-03   8.9478060e+00
   2.0636178e-02   2.2780011e+01   2.2780011e+01   3.6006533e+03   6.7867040e+01   6.7867040e+01   3.8631830e-04   3.8631831e-04   5.1043689e-03   9.3493863e+00
   2.1117830e-02   2.2032688e+01   2.2032688e+01   3.5991582e+03   6.8200029e+01   6.8200029e+01   4.0036673e-04   4.0036673e-04   4.8763166e-03   9.7639195e+00
   2.1610725e-02   2.1294530e+01   2.1294530e+01   3.5976814e+03   6.8510425e+01   6.8510425e+01   4.1491953e-04   4.1491953e-04   4.6513014e-03   1.0191877e+01
   2.2115124e-02   2.0567007e+01   2.0567007e+01   3.5962260e+03   6.8796268e+01   6.8796268e+01   4.2999680e-04   4.2999680e-04   4.4297888e-03   1.0633749e+01
   2.2631296e-02   1.9852463e+01   1.9852463e+01   3.5947965e+03   6.9054445e+01   6.9054445e+01   4.4563470e-04   4.4563470e-04   4.2122690e-03   1.1090302e+01
   2.3159515e-02   1.9149204e+01   1.9149204e+01   3.5933896e+03   6.9287419e+01   6.9287419e+01   4.6181712e-04   4.6181712e-04   3.9985963e-03   1.1560769e+01
   2.3700063e-02   1.8454598e+01   1.8454598e+01   3.5920000e+03   6.9498834e+01   6.9498834e+01   4.7849807e-04   4.7849808e-04   3.7889345e-03   1.2044136e+01
   2.4253227e-02   1.7770031e+01   1.7770031e+01   3.5906305e+03   6.9686912e+01   6.9686912e+01   4.9569489e-04   4.9569489e-04   3.5838020e-03   1.2540796e+01
   2.4819303e-02   1.7096977e+01   1.7096977e+01   3.5892840e+03   6.9849773e+01   6.9849773e+01   5.1342559e-04   5.1342559e-04   3.3837496e-03   1.3051153e+01
   2.5398591e-02   1.6437003e+01   1.6437003e+01   3.5879637e+03   6.9985431e+01   6.9985431e+01   5.3170889e-04   5.3170889e-04   3.1893618e-03   1.3575627e+01
   2.5991399e-02   1.5792077e+01   1.5792077e+01   3.5866735e+03   7.0091385e+01   7.0091385e+01   5.5056872e-04   5.5056872e-04   3.0013182e-03   1.4114750e+01
   2.6598044e-02   1.5162151e+01   1.5162151e+01   3.5854133e+03   7.0167975e+01   7.0167975e+01   5.6999938e-04   5.6999938e-04   2.8194364e-03   1.4668228e+01
   2.7218848e-02   1.4542996e+01   1.4542996e+01   3.5841747e+03   7.0221112e+01   7.0221112e+01   5.8993215e-04   5.8993215e-04   2.6427795e-03   1.5234382e+01
   2.7854142e-02   1.3936066e+01   1.3936066e+01   3.5829605e+03   7.0249056e+01   7.0249056e+01   6.1038105e-04   6.1038105e-04   2.4719167e-03   1.5813499e+01
   2.8504263e-02   1.3342905e+01   1.3342905e+01   3.5817739e+03   7.0249971e+01   7.0249971e+01   6.3136052e-04   6.3136052e-04   2.3074517e-03   1.6405868e+01
   2.9169559e-02   1.2765154e+01   1.2765154e+01   3.5806182e+03   7.0221918e+01   7.0221918e+01   6.5288547e-04   6.5288547e-04   2.1500241e-03   1.7011786e+01
   2.9850382e-02   1.2204957e+01   1.2204957e+01   3.5794975e+03   7.0162365e+01   7.0162365e+01   6.7496976e-04   6.7496976e-04   2.0002989e-03   1.7631641e+01
   3.0547097e-02   1.1658103e+01   1.1658103e+01   3.5784036e+03   7.0077223e+01   7.0077223e+01   6.9754644e-04   6.9754644e-04   1.8565923e-03   1.8263736e+01
   3.1260072e-02   1.1124339e+01   1.1124339e+01   3.5773358e+03   6.9967136e+01   6.9967136e+01   7.2060560e-04   7.2060560e-04   1.7188855e-03   1.8907678e+01
   3.1989689e-02   1.0605192e+01   1.0605192e+01   3.5762973e+03   6.9830438e+01   6.9830438e+01   7.4415638e-04   7.4415639e-04   1.5877602e-03   1.9563608e+01
   3.2736335e-02   1.0102282e+01   1.0102282e+01   3.5752913e+03   6.9665370e+01   6.9665370e+01   7.6820808e-04   7.6820808e-04   1.4638327e-03   2.0231661e+01
   3.3500408e-02   9.6174136e+00   9.6174136e+00   3.5743214e+03   6.9470020e+01   6.9470020e+01   7.9275482e-04   7.9275482e-04   1.3476313e-03   2.0911947e+01
   3.4282315e-02   9.1463530e+00   9.1463530e+00   3.5733791e+03   6.9250200e+01   6.9250200e+01   8.1773564e-04   8.1773564e-04   1.2372547e-03   2.1602887e+01
   3.5082471e-02   8.6893376e+00   8.6893376e+00   3.5724649e+03   6.9006008e+01   6.9006008e+01   8.4314632e-04   8.4314632e-04   1.1327676e-03   2.2304149e+01
   3.5901304e-02   8.2478776e+00   8.2478776e+00   3.5715818e+03   6.8735966e+01   6.8735966e+01   8.6898966e-04   8.6898966e-04   1.0347072e-03   2.3015697e+01
   3.6739248e-02   7.8238672e+00   7.8238672e+00   3.5707337e+03   6.8438176e+01   6.8438176e+01   8.9526541e-04   8.9526541e-04   9.4373270e-04   2.3737536e+01
   3.7596750e-02   7.4158640e+00   7.4158640e+00   3.5699175e+03   6.8114890e+01   6.8114890e+01   9.2192294e-04   9.2192294e-04   8.5894205e-04   2.4468857e+01
   3.8474266e-02   7.0214683e+00   7.0214683e+00   3.5691286e+03   6.7769461e+01   6.7769461e+01   9.4894157e-04   9.4894157e-04   7.7927259e-04   2.5208707e+01
   3.9372263e-02   6.6420902e+00   6.6420902e+00   3.5683698e+03   6.7400685e+01   6.7400685e+01   9.7631742e-04   9.7631742e-04   7.0517915e-04   2.5956881e+01
   4.0291220e-02   6.2793833e+00   6.2793833e+00   3.5676443e+03   6.7007119e+01   6.7007119e+01   1.0040439e-03   1.0040439e-03   6.3719393e-04   2.6713166e+01
   4.1231626e-02   5.9326588e+00   5.9326588e+00   3.5669508e+03   6.6590110e+01   6.6590110e+01   1.0320720e-03   1.0320720e-03   5.7475300e-04   2.7476906e+01
   4.2193981e-02   5.5991713e+00   5.5991713e+00   3.5662837e+03   6.6153271e+01   6.6153271e+01   1.0603855e-03   1.0603855e-03   5.1667105e-04   2.8247234e+01
   4.3178797e-02   5.2802371e+00   5.2802371e+00   3.5656458e+03   6.5695664e+01   6.5695664e+01   1.0889738e-03   1.0889738e-03   4.6332451e-04   2.9023771e+01
   4.4186600e-02   4.9774595e+00   4.9774595e+00   3.5650402e+03   6.5216110e+01   6.5216110e+01   1.1178166e-03   1.1178166e-03   4.1515550e-04   2.9806093e+01
   4.5217924e-02   4.6887230e+00   4.6887230e+00   3.5644627e+03   6.4717436e+01   6.4717436e+01   1.1468709e-03   1.1468709e-03   3.7115827e-04   3.0593490e+01
   4.6273320e-02   4.4128697e+00   4.4128697e+00   3.5639110e+03   6.4201401e+01   6.4201401e+01   1.1761280e-03   1.1761280e-03   3.3080538e-04   3.1385359e+01
   4.7353349e-02   4.1511270e+00   4.1511270e+00   3.5633875e+03   6.3667330e+01   6.3667330e+01   1.2055702e-03   1.2055702e-03   2.9440249e-04   3.2181151e+01
   4.8458586e-02   3.9042271e+00   3.9042271e+00   3.5628937e+03   6.3115146e+01   6.3115146e+01   1.2351558e-03   1.2351558e-03   2.6200970e-04   3.2980209e+01
   4.9589620e-02   3.6691462e+00   3.6691462e+00   3.5624235e+03   6.2548325e+01   6.2548325e+01   1.2648720e-03   1.2648720e-03   2.3249927e-04   3.3782081e+01
   5.0747052e-02   3.4465744e+00   3.4465744e+00   3.5619784e+03   6.1966824e+01   6.1966824e+01   1.2947007e-03   1.2947007e-03   2.0598582e-04   3.4586119e+01
   5.1931499e-02   3.2376720e+00   3.2376720e+00   3.5615606e+03   6.1370267e+01   6.1370267e+01   1.3246058e-03   1.3246058e-03   1.8268950e-04   3.5391542e+01
   5.3143592e-02   3.0401414e+00   3.0401414e+00   3.5611656e+03   6.0761261e+01   6.0761261e+01   1.3545673e-03   1.3545673e-03   1.6180365e-04   3.6198040e+01
   5.4383974e-02   2.8536984e+00   2.8536984e+00   3.5607927e+03   6.0140663e+01   6.0140663e+01   1.3845732e-03   1.3845732e-03   1.4316118e-04   3.7005040e+01
   5.5653308e-02   2.6794367e+00   2.6794367e+00   3.5604442e+03   5.9508292e+01   5.9508292e+01   1.4145859e-03   1.4145859e-03   1.2695304e-04   3.7811628e+01
   5.6952268e-02   2.5157169e+00   2.5157169e+00   3.5601168e+03   5.8866047e+01   5.8866047e+01   1.4445849e-03   1.4445849e-03   1.1265149e-04   3.8617547e+01
   5.8281546e-02   2.3618016e+00   2.3618016e+00   3.5598090e+03   5.8215090e+01   5.8215090e+01   1.4745634e-03   1.4745634e-03   1.0000592e-04   3.9422372e+01
   5.9641849e-02   2.2186363e+00   2.2186363e+00   3.5595227e+03   5.7555508e+01   5.7555508e+01   1.5044800e-03   1.5044800e-03   8.9154504e-05   4.0225071e+01
   6.1033903e-02   2.0847559e+00   2.0847559e+00   3.5592550e+03   5.6888898e+01   5.6888898e+01   1.5343206e-03   1.5343206e-03   7.9697228e-05   4.1025512e+01
   6.2458447e-02   1.9595055e+00   1.9595055e+00   3.5590045e+03   5.6216293e+01   5.6216293e+01   1.5640787e-03   1.5640787e-03   7.1443847e-05   4.1823316e+01
   6.3916241e-02   1.8436411e+00   1.8436411e+00   3.5587728e+03   5.5538060e+01   5.5538060e+01   1.5937084e-03   1.5937084e-03   6.4479359e-05   4.2617361e+01
   6.5408059e-02   1.7356012e+00   1.7356012e+00   3.5585568e+03   5.4855611e+01   5.4855611e+01   1.6232101e-03   1.6232101e-03   5.8463939e-05   4.3407796e+01
   6.6934697e-02   1.6351040e+00   1.6351040e+00   3.5583559e+03   5.4169750e+01   5.4169750e+01   1.6525698e-03   1.6525698e-03   5.3308788e-05   4.4194102e+01
   6.8496967e-02   1.5426142e+00   1.5426142e+00   3.5581709e+03   5.3481119e+01   5.3481119e+01   1.6817406e-03   1.6817406e-03   4.9041962e-05   4.4975167e+01
   7.0095701e-02   1.4565327e+00   1.4565327e+00   3.5579988e+03   5.2790831e+01   5.2790831e+01   1.7107399e-03   1.7107398e-03   4.5389159e-05   4.5751483e+01
   7.1731749e-02   1.3769799e+00   1.3769799e+00   3.5578398e+03   5.2099585e+01   5.2099585e+01   1.7395402e-03   1.7395402e-03   4.2338915e-05   4.6522227e+01
   7.3405984e-02   1.3039880e+00   1.3039880e+00   3.5576938e+03   5.1408223e+01   5.1408223e+01   1.7681021e-03   1.7681021e-03   3.9861725e-05   4.7286526e+01
   7.5119295e-02   1.2362021e+00   1.2362021e+00   3.5575583e+03   5.0717443e+01   5.0717443e+01   1.7964534e-03   1.7964534e-03   3.7774277e-05   4.8045038e+01
   7.6872595e-02   1.1740387e+00   1.1740387e+00   3.5574340e+03   5.0028072e+01   5.0028072e+01   1.8245477e-03   1.8245477e-03   3.6101667e-05   4.8796518e+01
   7.8666818e-02   1.1168519e+00   1.1168519e+00   3.5573197e+03   4.9340798e+01   4.9340798e+01   1.8523786e-03   1.8523786e-03   3.4758342e-05   4.9540924e+01
   8.0502918e-02   1.0639900e+00   1.0639900e+00   3.5572141e+03   4.8656133e+01   4.8656133e+01   1.8799549e-03   1.8799549e-03   3.3669697e-05   5.0278397e+01
   8.2381873e-02   1.0157789e+00   1.0157789e+00   3.5571177e+03   4.7975080e+01   4.7975080e+01   1.9072249e-03   1.9072249e-03   3.2848731e-05   5.1007607e+01
   8.4304684e-02   9.7124280e-01   9.7124280e-01   3.5570287e+03   4.7297840e+01   4.7297840e+01   1.9342161e-03   1.9342161e-03   3.2207858e-05   5.1729330e+01
   8.6272373e-02   9.3027575e-01   9.3027575e-01   3.5569468e+03   4.6625090e+01   4.6625090e+01   1.9609094e-03   1.9609094e-03   3.1730822e-05   5.2442994e+01
   8.8285988e-02   8.9294349e-01   8.9294349e-01   3.5568722e+03   4.5957807e+01   4.5957807e+01   1.9872626e-03   1.9872626e-03   3.1411907e-05   5.3147557e+01
   9.0346602e-02   8.5834621e-01   8.5834621e-01   3.5568030e+03   4.5295736e+01   4.5295736e+01   2.0133202e-03   2.0133202e-03   3.1191571e-05   5.3844173e+01
   9.2455311e-02   8.2663536e-01   8.2663536e-01   3.5567397e+03   4.4639873e+01   4.4639873e+01   2.0390399e-03   2.0390399e-03   3.1072593e-05   5.4531696e+01
   9.4613238e-02   7.9759001e-01   7.9759001e-01   3.5566816e+03   4.3990821e+01   4.3990821e+01   2.0644043e-03   2.0644043e-03   3.1037879e-05   5.5209743e+01
   9.6821531e-02   7.7061326e-01   7.7061326e-01   3.5566277e+03   4.3348205e+01   4.3348205e+01   2.0894522e-03   2.0894522e-03   3.1058009e-05   5.5879285e+01
   9.9081366e-02   7.4590562e-01   7.4590562e-01   3.5565784e+03   4.2713314e+01   4.2713314e+01   2.1141273e-03   2.1141273e-03   3.1137163e-05   5.6538834e+01
   1.0139395e-01   7.2307293e-01   7.2307293e-01   3.5565327e+03   4.2086083e+01   4.2086083e+01   2.1384453e-03   2.1384453e-03   3.1257900e-05   5.7188849e+01
   1.0376050e-01   7.0180040e-01   7.0180040e-01   3.5564902e+03   4.1466357e+01   4.1466357e+01   2.1624252e-03   2.1624252e-03   3.1408199e-05   5.7829800e+01
   1.0618229e-01   6.8224012e-01   6.8224012e-01   3.5564512e+03   4.0855517e+01   4.0855517e+01   2.1860092e-03   2.1860092e-03   3.1589962e-05   5.8460153e+01
   1.0866061e-01   6.6402281e-01   6.6402281e-01   3.5564148e+03   4.0253092e+01   4.0253092e+01   2.2092277e-03   2.2092277e-03   3.1791698e-05   5.9080749e+01
