   0.0000000e+00   0.0000000e+00   0.0000000e+00
   5.0000000e-01   2.0043200e+02   1.6074235e-01
   1.0000000e+00   7.3265034e+02   2.5080169e-01
   1.5000000e+00   1.1980132e+03   3.4859736e-01
   2.0000000e+00   1.4804406e+03   4.7277132e-01
   2.5000000e+00   1.6120857e+03   6.2980734e-01
   3.0000000e+00   1.6357448e+03   8.2791435e-01
   3.5000000e+00   1.5845268e+03   1.0789297e+00
   4.0000000e+00   1.4815554e+03   1.4008224e+00
   4.5000000e+00   1.3423408e+03   1.8224922e+00
   5.0000000e+00   1.1768917e+03   2.3940399e+00
   5.5000000e+00   9.9105966e+02   3.2118462e+00
   6.0000000e+00   7.8690133e+02   4.4932105e+00
   6.5000000e+00   5.6120113e+02   6.8804040e+00
   7.0000000e+00   2.9778859e+02   1.3776147e+01
   7.5000000e+00   1.1166529e+01   1.5463821e+02
   8.0000000e+00   7.4603295e-01   7.4427209e+02
   8.5000000e+00   4.8671528e-01   1.0997222e+03
   9.0000000e+00   4.1951131e-01   1.2702706e+03
   9.5000000e+00   4.0055234e-01   1.3286396e+03
   1.0000000e+01   4.0295662e-01   1.3204352e+03
   1.0500000e+01   4.1784640e-01   1.2738616e+03
   1.1000000e+01   4.4157640e-01   1.2063231e+03
   1.1500000e+01   4.7251583e-01   1.1285263e+03
   1.2000000e+01   5.0996944e-01   1.0470154e+03
   1.2500000e+01   5.5374595e-01   9.6574059e+02
   1.3000000e+01   6.0395868e-01   8.8703093e+02
   1.3500000e+01   6.6094412e-01   8.1220050e+02
   1.4000000e+01   7.2520514e-01   7.4192748e+02
   1.4500000e+01   7.9739701e-01   6.7649242e+02
   1.5000000e+01   8.7832143e-01   6.1592928e+02
   1.5500000e+01   9.6893114e-01   5.6012130e+02
   1.6000000e+01   1.0703452e+00   5.0886242e+02
   1.6500000e+01   1.1838797e+00   4.6189653e+02
   1.7000000e+01   1.3110533e+00   4.1894278e+02
   1.7500000e+01   1.4536598e+00   3.7971173e+02
   1.8000000e+01   1.6138083e+00   3.4391558e+02
   1.8500000e+01   1.7939976e+00   3.1127438e+02
   1.9000000e+01   1.9972482e+00   2.8151978e+02
   1.9500000e+01   2.2271888e+00   2.5439669e+02
   2.0000000e+01   2.4883233e+00   2.2966401e+02
   2.0500000e+01   2.7863003e+00   2.0709404e+02
   2.1000000e+01   3.1283834e+00   1.8647122e+02
