itr (50us dt) A(t) R(t)
374000 2 320
375000 2 324
376000 0 334
377000 3 329
378000 0 327
379000 1 326
380000 1 310
381000 1 311
382000 1 298
383000 2 286
384000 4 276
385000 0 274
386000 0 273
387000 1 286
388000 2 276
389000 2 284
390000 3 275
391000 1 271
392000 2 275
393000 3 281
394000 1 280
395000 2 285
396000 3 280
397000 4 276
398000 6 263
399000 4 255
400000 3 238
401000 3 241
402000 2 241
403000 1 240
404000 0 246
405000 1 249
406000 2 258
407000 1 256
408000 3 257
409000 0 261
410000 2 263
411000 3 258
412000 1 250
413000 4 255
414000 1 252
415000 1 243
416000 3 236
417000 3 239
418000 4 239
419000 4 225
420000 7 204
421000 15 164
422000 15 110
423000 20 96
424000 15 88
425000 10 83
426000 7 77
427000 11 73
428000 20 57
429000 20 55
430000 25 45
431000 32 43
432000 32 38
433000 61 24
434000 83 26
435000 101 10
436000 131 8
437000 160 6
438000 191 5
439000 227 8
440000 282 3
441000 332 3
442000 384 5
443000 405 0
444000 449 2
445000 492 3
446000 546 0
447000 603 3
448000 614 1
449000 641 5
450000 653 0
451000 668 2
452000 706 4
453000 716 2
454000 725 3
455000 740 0
456000 765 1
457000 784 2
458000 813 1
459000 901 3
460000 944 1
461000 985 0
462000 1000 1
463000 1040 1
464000 1075 1
465000 1125 2
466000 1161 1
467000 1222 2
468000 1250 4
469000 1269 1
470000 1223 0
471000 1220 1
472000 1186 1
473000 1201 1
474000 1189 1
475000 1190 1
476000 1181 1
477000 1197 0
478000 1207 4
479000 1181 3
480000 1170 0
481000 1155 2
482000 1144 1
483000 1138 1
484000 1154 4
485000 1177 3
486000 1182 0
487000 1192 1
488000 1203 1
489000 1203 2
490000 1220 1
491000 1199 3
492000 1169 0
493000 1178 4
494000 1184 1
495000 1222 0
496000 1229 1
497000 1220 1
498000 1222 0
499000 1205 1
500000 1177 1
501000 1155 5
502000 1136 2
503000 1129 2
504000 1083 0
505000 1030 4
506000 999 1
507000 970 2
508000 954 1
509000 939 3
510000 901 2
511000 905 2
512000 922 2
513000 870 3
514000 823 5
515000 795 3
516000 800 4
517000 802 3
518000 805 4
519000 793 3
520000 770 3
521000 764 2
522000 722 4
523000 732 1
524000 710 4
525000 665 6
526000 609 9
527000 564 2
528000 546 6
529000 529 3
530000 523 13
531000 484 7
532000 467 4
533000 466 4
534000 437 12
535000 395 9
536000 349 12
537000 333 10
538000 328 5
539000 321 9
540000 320 13
541000 324 11
542000 317 15
543000 280 6
544000 237 13
545000 210 17
546000 159 18
547000 98 20
548000 73 52
549000 25 88
550000 8 143
551000 2 201
552000 6 270
553000 1 315
554000 1 377
555000 0 434
556000 0 500
557000 2 530
558000 0 563
559000 2 598
560000 0 650
561000 0 684
562000 0 721
563000 1 753
564000 1 794
565000 0 813
566000 0 844
567000 0 878
568000 1 892
569000 0 914
570000 1 929
571000 0 950
572000 1 974
573000 0 992
574000 1 1016
575000 0 1040
576000 0 1056
577000 0 1069
578000 1 1072
579000 0 1078
580000 0 1079
581000 0 1081
582000 0 1095
583000 0 1085
584000 0 1083
585000 0 1085
586000 1 1090
587000 0 1103
588000 0 1108
589000 0 1102
590000 0 1097
591000 1 1091
592000 0 1073
593000 0 1074
594000 0 1072
595000 0 1065
596000 1 1060
597000 0 1047
598000 0 1027
599000 0 1033
600000 0 1038
601000 1 1035
602000 0 1009
603000 0 1000
604000 0 992
605000 0 982
606000 0 984
607000 2 995
608000 0 988
609000 1 969
610000 2 963
611000 0 961
612000 1 951
613000 1 946
614000 2 940
615000 0 936
616000 0 942
617000 1 932
618000 1 912
619000 2 885
620000 0 877
621000 0 870
622000 3 861
623000 1 855
624000 1 845
625000 0 839
626000 1 840
627000 0 831
628000 0 826
629000 1 835
630000 0 827
631000 0 808
632000 1 795
633000 1 771
634000 3 749
635000 1 738
636000 4 710
637000 2 662
638000 1 634
639000 1 611
640000 2 586
641000 1 566
642000 2 556
643000 5 545
644000 1 536
645000 0 535
646000 1 540
647000 0 547
648000 4 540
649000 0 530
650000 0 528
651000 0 521
652000 1 523
653000 2 515
654000 0 521
655000 2 523
656000 0 537
657000 1 548
658000 3 563
659000 0 565
660000 0 563
661000 1 556
662000 0 571
663000 1 554
664000 1 542
665000 3 538
666000 1 537
667000 1 531
668000 3 536
669000 3 525
670000 1 515
671000 4 495
672000 2 490
673000 4 477
674000 3 476
675000 3 460
676000 0 473
677000 0 484
678000 0 488
679000 3 485
680000 1 485
681000 0 491
682000 2 490
683000 2 492
684000 2 487
685000 0 485
686000 0 487
687000 0 490
688000 1 503
689000 0 505
690000 1 494
691000 4 494
692000 0 492
693000 2 493
694000 1 488
695000 1 505
696000 0 509
697000 1 499
698000 0 504
699000 0 498
700000 1 506
701000 2 497
702000 0 498
703000 2 491
704000 1 490
705000 1 481
706000 3 483
707000 4 463
708000 1 463
709000 0 457
710000 1 455
711000 0 460
712000 0 459
713000 0 459
714000 4 457
715000 1 451
716000 0 448
717000 1 447
718000 2 449
719000 1 444
720000 1 443
721000 2 436
722000 1 414
723000 1 411
724000 1 399
725000 0 390
726000 3 385
727000 1 372
728000 1 369
729000 1 366
730000 1 359
731000 1 361
732000 0 358
733000 0 362
734000 0 363
735000 1 353
736000 3 355
737000 5 350
738000 2 325
739000 2 322
740000 0 322
741000 1 328
742000 2 325
743000 0 326
744000 1 323
745000 1 320
746000 0 321
747000 0 319
748000 0 310
749000 2 312
750000 0 317
751000 0 320
752000 0 317
753000 1 319
754000 1 312
755000 1 315
756000 3 320
757000 1 315
758000 1 309
759000 1 304
760000 3 294
761000 0 283
762000 4 283
763000 5 268
764000 1 264
765000 2 265
766000 0 263
767000 0 265
768000 2 259
769000 3 246
770000 0 244
771000 1 249
772000 5 247
773000 1 244
774000 1 240
775000 0 244
776000 2 252
777000 2 248
778000 1 248
779000 3 243
780000 0 249
781000 2 246
782000 1 242
783000 2 238
784000 2 234
785000 4 235
786000 3 233
787000 1 229
788000 5 235
789000 1 228
790000 3 223
791000 2 232
792000 0 238
793000 6 234
794000 7 216
795000 2 209
796000 10 203
797000 8 168
798000 5 158
799000 5 148
800000 1 147
801000 10 133
802000 8 120
803000 12 125
804000 3 130
805000 4 123
806000 11 122
807000 11 116
808000 6 106
809000 10 98
810000 9 92
811000 5 95
812000 8 92
813000 6 89
814000 4 91
815000 9 98
816000 10 93
817000 4 94
818000 7 89
819000 8 101
820000 2 99
821000 2 109
822000 4 105
823000 4 111
824000 6 103
825000 9 100
826000 5 96
827000 15 91
828000 10 67
829000 29 51
830000 38 34
831000 40 23
832000 42 16
833000 38 22
834000 39 24
835000 58 22
836000 92 13
837000 104 7
838000 133 12
839000 145 5
840000 181 6
841000 220 5
842000 258 3
843000 285 4
844000 322 3
845000 370 3
846000 423 4
847000 471 4
848000 531 2
849000 568 1
850000 640 2
851000 680 3
852000 704 2
853000 726 3
854000 735 1
855000 779 0
856000 838 1
857000 896 1
858000 924 3
859000 957 0
860000 988 1
861000 991 5
862000 1009 0
863000 1028 1
864000 1034 0
865000 1026 4
866000 1054 2
867000 1081 1
868000 1103 2
869000 1115 3
870000 1131 1
871000 1124 2
872000 1118 1
873000 1106 1
874000 1091 0
875000 1096 1
876000 1121 1
877000 1147 0
878000 1161 0
879000 1166 4
880000 1196 1
881000 1194 1
882000 1194 2
883000 1208 2
884000 1194 3
885000 1177 3
886000 1137 1
887000 1130 2
888000 1135 2
889000 1121 2
890000 1091 2
891000 1077 1
892000 1061 3
893000 1058 3
894000 1084 1
895000 1095 3
896000 1105 1
897000 1116 3
898000 1138 2
899000 1160 1
900000 1171 1
