	time (us)      MABM               AB           AM              BM               A              B                 ABM           M           
   3.8000000e+03   1.2500000e-01   1.5625000e-02   1.9609375e+01   1.9968750e+01   8.0250000e+01   7.9890625e+01   0.0000000e+00   3.7151719e+03
   3.9000000e+03   1.2500000e-01   1.5625000e-02   1.9937500e+01   2.0468750e+01   7.9921875e+01   7.9390625e+01   0.0000000e+00   3.7143438e+03
   4.0000000e+03   1.2500000e-01   1.5625000e-02   2.0500000e+01   2.0843750e+01   7.9359375e+01   7.9015625e+01   0.0000000e+00   3.7134062e+03
   4.1000000e+03   1.2500000e-01   1.5625000e-02   2.0875000e+01   2.1265625e+01   7.8984375e+01   7.8593750e+01   0.0000000e+00   3.7126094e+03
   4.2000000e+03   1.2500000e-01   1.5625000e-02   2.1328125e+01   2.1765625e+01   7.8531250e+01   7.8093750e+01   0.0000000e+00   3.7116562e+03
   4.3000000e+03   1.2500000e-01   1.5625000e-02   2.1656250e+01   2.2187500e+01   7.8203125e+01   7.7671875e+01   0.0000000e+00   3.7109062e+03
   4.4000000e+03   1.4062500e-01   1.5625000e-02   2.2078125e+01   2.2640625e+01   7.7765625e+01   7.7203125e+01   0.0000000e+00   3.7100000e+03
   4.5000000e+03   1.5625000e-01   1.5625000e-02   2.2453125e+01   2.3140625e+01   7.7375000e+01   7.6687500e+01   0.0000000e+00   3.7090938e+03
   4.6000000e+03   1.7187500e-01   1.5625000e-02   2.2875000e+01   2.3546875e+01   7.6937500e+01   7.6265625e+01   0.0000000e+00   3.7082344e+03
   4.7000000e+03   1.7187500e-01   1.5625000e-02   2.3312500e+01   2.3953125e+01   7.6500000e+01   7.5859375e+01   0.0000000e+00   3.7073906e+03
   4.8000000e+03   1.7187500e-01   1.5625000e-02   2.3812500e+01   2.4359375e+01   7.6000000e+01   7.5453125e+01   0.0000000e+00   3.7064844e+03
   4.9000000e+03   1.8750000e-01   1.5625000e-02   2.4156250e+01   2.4859375e+01   7.5640625e+01   7.4937500e+01   0.0000000e+00   3.7056094e+03
   5.0000000e+03   1.8750000e-01   1.5625000e-02   2.4562500e+01   2.5375000e+01   7.5218750e+01   7.4406250e+01   1.5625000e-02   3.7046719e+03
   5.1000000e+03   1.8750000e-01   1.5625000e-02   2.4921875e+01   2.5703125e+01   7.4859375e+01   7.4078125e+01   1.5625000e-02   3.7039844e+03
   5.2000000e+03   2.0312500e-01   1.5625000e-02   2.5375000e+01   2.6046875e+01   7.4406250e+01   7.3734375e+01   0.0000000e+00   3.7031719e+03
   5.3000000e+03   2.0312500e-01   1.5625000e-02   2.5781250e+01   2.6468750e+01   7.4000000e+01   7.3312500e+01   0.0000000e+00   3.7023438e+03
   5.4000000e+03   2.1875000e-01   1.5625000e-02   2.6109375e+01   2.6953125e+01   7.3656250e+01   7.2812500e+01   0.0000000e+00   3.7015000e+03
   5.5000000e+03   2.5000000e-01   1.5625000e-02   2.6359375e+01   2.7531250e+01   7.3375000e+01   7.2203125e+01   0.0000000e+00   3.7006094e+03
   5.6000000e+03   2.5000000e-01   1.5625000e-02   2.6703125e+01   2.7906250e+01   7.3031250e+01   7.1828125e+01   0.0000000e+00   3.6998906e+03
   5.7000000e+03   2.8125000e-01   1.5625000e-02   2.7140625e+01   2.8265625e+01   7.2562500e+01   7.1437500e+01   0.0000000e+00   3.6990312e+03
   5.8000000e+03   2.8125000e-01   1.5625000e-02   2.7546875e+01   2.8796875e+01   7.2156250e+01   7.0906250e+01   0.0000000e+00   3.6980938e+03
   5.9000000e+03   2.8125000e-01   1.5625000e-02   2.7843750e+01   2.9140625e+01   7.1859375e+01   7.0562500e+01   0.0000000e+00   3.6974531e+03
   6.0000000e+03   2.9687500e-01   1.5625000e-02   2.8171875e+01   2.9468750e+01   7.1515625e+01   7.0218750e+01   0.0000000e+00   3.6967656e+03
   6.1000000e+03   2.9687500e-01   1.5625000e-02   2.8593750e+01   2.9781250e+01   7.1093750e+01   6.9906250e+01   0.0000000e+00   3.6960312e+03
