Time (s),A(a),R(r),A(a!1).R(r!1)
0.04584,242,242,758
0.04586,243,243,757
0.04588,243,243,757
0.0459,242,242,758
0.04592,244,244,756
0.04594,244,244,756
0.04596,244,244,756
0.04598,243,243,757
0.046,243,243,757
0.04602,244,244,756
0.04604,242,242,758
0.04606,242,242,758
0.04608,240,240,760
0.0461,238,238,762
0.04612,238,238,762
0.04614,238,238,762
0.04616,240,240,760
0.04618,238,238,762
0.0462,238,238,762
0.04622,239,239,761
0.04624,238,238,762
0.04626,239,239,761
0.04628,239,239,761
0.0463,240,240,760
0.04632,241,241,759
0.04634,241,241,759
0.04636,241,241,759
0.04638,241,241,759
0.0464,241,241,759
0.04642,238,238,762
0.04644,239,239,761
0.04646,241,241,759
0.04648,241,241,759
0.0465,241,241,759
0.04652,240,240,760
0.04654,237,237,763
0.04656,238,238,762
0.04658,237,237,763
0.0466,237,237,763
0.04662,236,236,764
0.04664,236,236,764
0.04666,236,236,764
0.04668,235,235,765
0.0467,235,235,765
0.04672,235,235,765
0.04674,236,236,764
0.04676,236,236,764
0.04678,236,236,764
0.0468,234,234,766
0.04682,234,234,766
0.04684,234,234,766
0.04686,234,234,766
0.04688,233,233,767
0.0469,234,234,766
0.04692,234,234,766
0.04694,234,234,766
0.04696,234,234,766
0.04698,235,235,765
0.047,236,236,764
0.04702,238,238,762
0.04704,238,238,762
0.04706,238,238,762
0.04708,233,233,767
0.0471,232,232,768
0.04712,234,234,766
0.04714,233,233,767
0.04716,234,234,766
0.04718,233,233,767
0.0472,233,233,767
0.04722,232,232,768
0.04724,231,231,769
0.04726,233,233,767
0.04728,234,234,766
0.0473,239,239,761
0.04732,239,239,761
0.04734,238,238,762
0.04736,238,238,762
0.04738,237,237,763
0.0474,238,238,762
0.04742,238,238,762
0.04744,239,239,761
0.04746,238,238,762
0.04748,239,239,761
0.0475,242,242,758
0.04752,242,242,758
0.04754,243,243,757
0.04756,242,242,758
0.04758,240,240,760
0.0476,240,240,760
0.04762,240,240,760
0.04764,241,241,759
0.04766,240,240,760
0.04768,239,239,761
0.0477,239,239,761
0.04772,240,240,760
0.04774,238,238,762
0.04776,238,238,762
0.04778,238,238,762
0.0478,239,239,761
0.04782,242,242,758
0.04784,241,241,759
0.04786,240,240,760
0.04788,240,240,760
0.0479,240,240,760
0.04792,242,242,758
0.04794,238,238,762
0.04796,238,238,762
0.04798,237,237,763
0.048,239,239,761
0.04802,238,238,762
0.04804,238,238,762
0.04806,239,239,761
0.04808,237,237,763
0.0481,236,236,764
0.04812,237,237,763
0.04814,236,236,764
0.04816,235,235,765
0.04818,237,237,763
0.0482,240,240,760
0.04822,239,239,761
0.04824,239,239,761
0.04826,238,238,762
0.04828,236,236,764
0.0483,236,236,764
0.04832,236,236,764
0.04834,237,237,763
0.04836,235,235,765
0.04838,236,236,764
0.0484,236,236,764
0.04842,236,236,764
0.04844,237,237,763
0.04846,236,236,764
0.04848,237,237,763
0.0485,237,237,763
0.04852,235,235,765
0.04854,234,234,766
0.04856,236,236,764
0.04858,236,236,764
0.0486,237,237,763
0.04862,237,237,763
0.04864,237,237,763
0.04866,239,239,761
0.04868,242,242,758
0.0487,242,242,758
0.04872,241,241,759
0.04874,241,241,759
0.04876,242,242,758
0.04878,243,243,757
0.0488,245,245,755
0.04882,245,245,755
0.04884,244,244,756
0.04886,244,244,756
0.04888,245,245,755
0.0489,244,244,756
0.04892,243,243,757
0.04894,241,241,759
0.04896,242,242,758
0.04898,242,242,758
0.049,242,242,758
0.04902,241,241,759
0.04904,244,244,756
0.04906,244,244,756
0.04908,245,245,755
0.0491,245,245,755
0.04912,245,245,755
0.04914,245,245,755
0.04916,246,246,754
0.04918,245,245,755
0.0492,244,244,756
0.04922,243,243,757
0.04924,243,243,757
0.04926,246,246,754
0.04928,243,243,757
0.0493,241,241,759
0.04932,241,241,759
0.04934,241,241,759
0.04936,242,242,758
0.04938,242,242,758
0.0494,241,241,759
0.04942,239,239,761
0.04944,239,239,761
0.04946,239,239,761
0.04948,239,239,761
0.0495,240,240,760
0.04952,239,239,761
0.04954,238,238,762
0.04956,238,238,762
0.04958,239,239,761
0.0496,237,237,763
0.04962,237,237,763
0.04964,237,237,763
0.04966,238,238,762
0.04968,239,239,761
0.0497,239,239,761
0.04972,239,239,761
0.04974,239,239,761
0.04976,238,238,762
0.04978,238,238,762
0.0498,239,239,761
0.04982,241,241,759
0.04984,241,241,759
0.04986,241,241,759
0.04988,240,240,760
0.0499,239,239,761
0.04992,237,237,763
0.04994,236,236,764
0.04996,237,237,763
0.04998,236,236,764
0.05,235,235,765
0.05002,238,238,762
0.05004,238,238,762
0.05006,238,238,762
0.05008,240,240,760
0.0501,240,240,760
0.05012,239,239,761
0.05014,239,239,761
0.05016,240,240,760
0.05018,241,241,759
0.0502,241,241,759
0.05022,243,243,757
0.05024,245,245,755
0.05026,245,245,755
0.05028,245,245,755
0.0503,246,246,754
0.05032,246,246,754
0.05034,248,248,752
0.05036,249,249,751
0.05038,250,250,750
0.0504,250,250,750
0.05042,251,251,749
0.05044,252,252,748
0.05046,255,255,745
0.05048,256,256,744
0.0505,256,256,744
0.05052,257,257,743
0.05054,257,257,743
0.05056,256,256,744
0.05058,255,255,745
0.0506,255,255,745
0.05062,255,255,745
0.05064,255,255,745
0.05066,252,252,748
0.05068,253,253,747
0.0507,251,251,749
0.05072,252,252,748
0.05074,253,253,747
0.05076,251,251,749
0.05078,252,252,748
0.0508,251,251,749
0.05082,251,251,749
0.05084,249,249,751
0.05086,251,251,749
0.05088,249,249,751
0.0509,247,247,753
0.05092,248,248,752
0.05094,250,250,750
0.05096,249,249,751
0.05098,250,250,750
0.051,248,248,752
0.05102,248,248,752
0.05104,248,248,752
0.05106,249,249,751
0.05108,249,249,751
0.0511,248,248,752
0.05112,250,250,750
0.05114,249,249,751
0.05116,248,248,752
0.05118,247,247,753
0.0512,246,246,754
0.05122,246,246,754
0.05124,246,246,754
0.05126,246,246,754
0.05128,247,247,753
0.0513,249,249,751
0.05132,251,251,749
0.05134,254,254,746
0.05136,252,252,748
0.05138,252,252,748
0.0514,252,252,748
0.05142,252,252,748
0.05144,251,251,749
0.05146,252,252,748
0.05148,251,251,749
0.0515,252,252,748
0.05152,253,253,747
0.05154,253,253,747
0.05156,251,251,749
0.05158,251,251,749
0.0516,251,251,749
0.05162,252,252,748
0.05164,251,251,749
0.05166,251,251,749
0.05168,251,251,749
0.0517,251,251,749
0.05172,250,250,750
0.05174,250,250,750
0.05176,251,251,749
0.05178,249,249,751
0.0518,250,250,750
0.05182,252,252,748
0.05184,253,253,747
0.05186,253,253,747
0.05188,254,254,746
0.0519,255,255,745
0.05192,253,253,747
0.05194,252,252,748
0.05196,253,253,747
0.05198,252,252,748
0.052,253,253,747
0.05202,253,253,747
0.05204,253,253,747
0.05206,254,254,746
0.05208,253,253,747
0.0521,253,253,747
0.05212,252,252,748
0.05214,251,251,749
0.05216,250,250,750
0.05218,250,250,750
0.0522,251,251,749
0.05222,253,253,747
0.05224,251,251,749
0.05226,251,251,749
0.05228,250,250,750
0.0523,251,251,749
0.05232,251,251,749
0.05234,252,252,748
0.05236,251,251,749
0.05238,249,249,751
0.0524,249,249,751
0.05242,249,249,751
0.05244,250,250,750
0.05246,251,251,749
0.05248,250,250,750
0.0525,250,250,750
0.05252,251,251,749
0.05254,250,250,750
0.05256,248,248,752
0.05258,249,249,751
0.0526,251,251,749
0.05262,249,249,751
0.05264,248,248,752
0.05266,248,248,752
0.05268,247,247,753
0.0527,246,246,754
0.05272,245,245,755
0.05274,245,245,755
0.05276,244,244,756
0.05278,243,243,757
0.0528,242,242,758
0.05282,242,242,758
0.05284,242,242,758
0.05286,242,242,758
0.05288,244,244,756
0.0529,245,245,755
0.05292,246,246,754
0.05294,247,247,753
0.05296,248,248,752
0.05298,245,245,755
0.053,245,245,755
0.05302,245,245,755
0.05304,245,245,755
0.05306,245,245,755
0.05308,244,244,756
0.0531,244,244,756
0.05312,245,245,755
0.05314,244,244,756
0.05316,243,243,757
0.05318,245,245,755
0.0532,247,247,753
0.05322,246,246,754
0.05324,246,246,754
0.05326,246,246,754
0.05328,244,244,756
0.0533,244,244,756
0.05332,247,247,753
0.05334,246,246,754
0.05336,247,247,753
0.05338,248,248,752
0.0534,247,247,753
0.05342,248,248,752
0.05344,248,248,752
0.05346,249,249,751
0.05348,249,249,751
0.0535,249,249,751
0.05352,248,248,752
0.05354,248,248,752
0.05356,248,248,752
0.05358,248,248,752
0.0536,248,248,752
0.05362,246,246,754
0.05364,243,243,757
0.05366,243,243,757
0.05368,242,242,758
0.0537,244,244,756
0.05372,246,246,754
0.05374,248,248,752
0.05376,250,250,750
0.05378,252,252,748
0.0538,251,251,749
0.05382,251,251,749
0.05384,251,251,749
0.05386,250,250,750
0.05388,249,249,751
0.0539,251,251,749
0.05392,251,251,749
0.05394,252,252,748
0.05396,252,252,748
0.05398,253,253,747
0.054,256,256,744
0.05402,255,255,745
0.05404,256,256,744
0.05406,260,260,740
0.05408,259,259,741
0.0541,258,258,742
0.05412,258,258,742
0.05414,257,257,743
0.05416,257,257,743
0.05418,256,256,744
0.0542,253,253,747
0.05422,252,252,748
0.05424,252,252,748
0.05426,252,252,748
0.05428,253,253,747
0.0543,253,253,747
0.05432,253,253,747
0.05434,253,253,747
0.05436,251,251,749
0.05438,249,249,751
0.0544,249,249,751
0.05442,249,249,751
0.05444,250,250,750
0.05446,251,251,749
0.05448,251,251,749
0.0545,253,253,747
0.05452,254,254,746
0.05454,252,252,748
0.05456,252,252,748
0.05458,250,250,750
0.0546,249,249,751
0.05462,249,249,751
0.05464,247,247,753
0.05466,244,244,756
0.05468,245,245,755
0.0547,247,247,753
0.05472,245,245,755
0.05474,246,246,754
0.05476,246,246,754
0.05478,247,247,753
0.0548,247,247,753
0.05482,247,247,753
0.05484,249,249,751
0.05486,249,249,751
0.05488,247,247,753
0.0549,246,246,754
0.05492,243,243,757
0.05494,243,243,757
0.05496,243,243,757
0.05498,243,243,757
0.055,244,244,756
0.05502,241,241,759
0.05504,241,241,759
0.05506,241,241,759
0.05508,240,240,760
0.0551,239,239,761
0.05512,239,239,761
0.05514,241,241,759
0.05516,239,239,761
0.05518,239,239,761
0.0552,240,240,760
0.05522,240,240,760
0.05524,240,240,760
0.05526,243,243,757
0.05528,242,242,758
0.0553,242,242,758
0.05532,244,244,756
0.05534,243,243,757
0.05536,241,241,759
0.05538,242,242,758
0.0554,243,243,757
0.05542,243,243,757
0.05544,243,243,757
0.05546,245,245,755
0.05548,246,246,754
0.0555,248,248,752
0.05552,248,248,752
0.05554,247,247,753
0.05556,246,246,754
0.05558,246,246,754
0.0556,250,250,750
0.05562,246,246,754
0.05564,245,245,755
0.05566,245,245,755
0.05568,245,245,755
0.0557,244,244,756
0.05572,243,243,757
0.05574,243,243,757
0.05576,244,244,756
0.05578,244,244,756
0.0558,243,243,757
0.05582,244,244,756
0.05584,246,246,754
0.05586,245,245,755
0.05588,244,244,756
0.0559,244,244,756
0.05592,245,245,755
0.05594,245,245,755
0.05596,245,245,755
0.05598,247,247,753
0.056,247,247,753
0.05602,247,247,753
0.05604,248,248,752
0.05606,250,250,750
0.05608,250,250,750
0.0561,249,249,751
0.05612,249,249,751
0.05614,252,252,748
0.05616,254,254,746
0.05618,254,254,746
0.0562,254,254,746
0.05622,253,253,747
0.05624,253,253,747
0.05626,253,253,747
0.05628,253,253,747
0.0563,255,255,745
0.05632,255,255,745
0.05634,255,255,745
0.05636,255,255,745
0.05638,255,255,745
0.0564,254,254,746
0.05642,255,255,745
0.05644,253,253,747
0.05646,252,252,748
0.05648,252,252,748
0.0565,253,253,747
0.05652,254,254,746
0.05654,257,257,743
0.05656,258,258,742
0.05658,258,258,742
0.0566,258,258,742
0.05662,259,259,741
0.05664,258,258,742
0.05666,260,260,740
0.05668,260,260,740
0.0567,258,258,742
0.05672,256,256,744
0.05674,257,257,743
0.05676,256,256,744
0.05678,256,256,744
0.0568,256,256,744
0.05682,258,258,742
0.05684,257,257,743
0.05686,255,255,745
0.05688,256,256,744
0.0569,256,256,744
0.05692,257,257,743
0.05694,255,255,745
0.05696,256,256,744
0.05698,257,257,743
0.057,257,257,743
0.05702,256,256,744
0.05704,255,255,745
0.05706,253,253,747
0.05708,252,252,748
0.0571,251,251,749
0.05712,249,249,751
0.05714,249,249,751
0.05716,249,249,751
0.05718,249,249,751
0.0572,249,249,751
0.05722,250,250,750
0.05724,251,251,749
0.05726,250,250,750
0.05728,250,250,750
0.0573,251,251,749
0.05732,252,252,748
0.05734,249,249,751
0.05736,249,249,751
0.05738,250,250,750
0.0574,252,252,748
0.05742,252,252,748
0.05744,252,252,748
0.05746,252,252,748
0.05748,252,252,748
0.0575,253,253,747
0.05752,253,253,747
0.05754,252,252,748
0.05756,252,252,748
0.05758,252,252,748
0.0576,250,250,750
0.05762,252,252,748
0.05764,251,251,749
0.05766,250,250,750
0.05768,250,250,750
0.0577,250,250,750
0.05772,249,249,751
0.05774,248,248,752
0.05776,246,246,754
0.05778,245,245,755
0.0578,246,246,754
0.05782,245,245,755
0.05784,245,245,755
0.05786,245,245,755
0.05788,245,245,755
0.0579,245,245,755
0.05792,245,245,755
0.05794,245,245,755
0.05796,243,243,757
0.05798,243,243,757
0.058,241,241,759
0.05802,242,242,758
0.05804,245,245,755
0.05806,246,246,754
0.05808,245,245,755
0.0581,248,248,752
0.05812,248,248,752
0.05814,249,249,751
0.05816,249,249,751
0.05818,251,251,749
0.0582,251,251,749
0.05822,251,251,749
0.05824,250,250,750
0.05826,249,249,751
0.05828,248,248,752
0.0583,248,248,752
0.05832,247,247,753
0.05834,247,247,753
0.05836,244,244,756
0.05838,243,243,757
0.0584,243,243,757
0.05842,244,244,756
0.05844,243,243,757
0.05846,244,244,756
0.05848,243,243,757
0.0585,242,242,758
0.05852,240,240,760
0.05854,242,242,758
0.05856,243,243,757
0.05858,244,244,756
0.0586,243,243,757
0.05862,244,244,756
0.05864,243,243,757
0.05866,241,241,759
0.05868,241,241,759
0.0587,241,241,759
0.05872,241,241,759
0.05874,241,241,759
0.05876,239,239,761
0.05878,240,240,760
0.0588,241,241,759
0.05882,243,243,757
0.05884,240,240,760
0.05886,241,241,759
0.05888,240,240,760
0.0589,240,240,760
0.05892,240,240,760
0.05894,239,239,761
0.05896,239,239,761
0.05898,242,242,758
0.059,244,244,756
0.05902,242,242,758
0.05904,244,244,756
0.05906,245,245,755
0.05908,247,247,753
0.0591,247,247,753
0.05912,249,249,751
0.05914,249,249,751
0.05916,249,249,751
0.05918,249,249,751
0.0592,249,249,751
0.05922,250,250,750
0.05924,250,250,750
0.05926,251,251,749
0.05928,251,251,749
0.0593,252,252,748
0.05932,253,253,747
0.05934,253,253,747
0.05936,253,253,747
0.05938,254,254,746
0.0594,256,256,744
0.05942,256,256,744
0.05944,256,256,744
0.05946,258,258,742
0.05948,258,258,742
0.0595,257,257,743
0.05952,255,255,745
0.05954,255,255,745
0.05956,255,255,745
0.05958,255,255,745
0.0596,255,255,745
0.05962,254,254,746
0.05964,254,254,746
0.05966,254,254,746
0.05968,257,257,743
0.0597,260,260,740
0.05972,260,260,740
0.05974,260,260,740
0.05976,263,263,737
0.05978,264,264,736
0.0598,266,266,734
0.05982,267,267,733
0.05984,266,266,734
0.05986,267,267,733
0.05988,267,267,733
0.0599,265,265,735
0.05992,265,265,735
0.05994,264,264,736
0.05996,262,262,738
0.05998,263,263,737
0.06,261,261,739
0.06002,261,261,739
0.06004,262,262,738
0.06006,260,260,740
0.06008,260,260,740
0.0601,259,259,741
0.06012,259,259,741
0.06014,262,262,738
0.06016,263,263,737
0.06018,262,262,738
0.0602,262,262,738
0.06022,261,261,739
0.06024,261,261,739
0.06026,260,260,740
0.06028,261,261,739
0.0603,260,260,740
0.06032,261,261,739
0.06034,261,261,739
0.06036,262,262,738
0.06038,260,260,740
0.0604,258,258,742
0.06042,258,258,742
0.06044,258,258,742
0.06046,258,258,742
0.06048,257,257,743
0.0605,254,254,746
0.06052,254,254,746
0.06054,254,254,746
0.06056,254,254,746
0.06058,255,255,745
0.0606,254,254,746
0.06062,254,254,746
0.06064,252,252,748
0.06066,253,253,747
0.06068,254,254,746
0.0607,254,254,746
0.06072,256,256,744
0.06074,256,256,744
0.06076,256,256,744
0.06078,258,258,742
0.0608,260,260,740
0.06082,261,261,739
0.06084,261,261,739
0.06086,261,261,739
0.06088,260,260,740
0.0609,262,262,738
0.06092,260,260,740
0.06094,260,260,740
0.06096,256,256,744
0.06098,256,256,744
0.061,257,257,743
0.06102,256,256,744
0.06104,255,255,745
0.06106,255,255,745
0.06108,255,255,745
0.0611,255,255,745
0.06112,253,253,747
0.06114,252,252,748
0.06116,251,251,749
0.06118,253,253,747
0.0612,253,253,747
0.06122,253,253,747
0.06124,252,252,748
0.06126,253,253,747
0.06128,254,254,746
0.0613,253,253,747
0.06132,252,252,748
0.06134,252,252,748
0.06136,252,252,748
0.06138,252,252,748
0.0614,252,252,748
0.06142,252,252,748
0.06144,252,252,748
0.06146,248,248,752
0.06148,249,249,751
0.0615,251,251,749
0.06152,249,249,751
0.06154,248,248,752
0.06156,248,248,752
0.06158,249,249,751
0.0616,250,250,750
0.06162,251,251,749
0.06164,251,251,749
0.06166,252,252,748
0.06168,252,252,748
0.0617,254,254,746
0.06172,255,255,745
0.06174,256,256,744
0.06176,256,256,744
0.06178,258,258,742
0.0618,259,259,741
0.06182,261,261,739
0.06184,261,261,739
0.06186,261,261,739
0.06188,259,259,741
0.0619,258,258,742
0.06192,257,257,743
0.06194,255,255,745
0.06196,255,255,745
0.06198,254,254,746
0.062,253,253,747
0.06202,254,254,746
0.06204,255,255,745
0.06206,252,252,748
0.06208,253,253,747
0.0621,252,252,748
0.06212,252,252,748
0.06214,251,251,749
0.06216,253,253,747
0.06218,254,254,746
0.0622,251,251,749
0.06222,252,252,748
0.06224,253,253,747
0.06226,255,255,745
0.06228,255,255,745
0.0623,255,255,745
0.06232,256,256,744
0.06234,256,256,744
0.06236,257,257,743
0.06238,257,257,743
0.0624,257,257,743
0.06242,256,256,744
0.06244,254,254,746
0.06246,254,254,746
0.06248,253,253,747
0.0625,254,254,746
0.06252,253,253,747
0.06254,253,253,747
0.06256,254,254,746
0.06258,254,254,746
0.0626,254,254,746
0.06262,254,254,746
0.06264,256,256,744
0.06266,255,255,745
0.06268,256,256,744
0.0627,256,256,744
0.06272,255,255,745
0.06274,254,254,746
0.06276,254,254,746
0.06278,254,254,746
0.0628,252,252,748
0.06282,252,252,748
0.06284,252,252,748
0.06286,251,251,749
0.06288,248,248,752
0.0629,246,246,754
0.06292,247,247,753
0.06294,246,246,754
0.06296,247,247,753
0.06298,248,248,752
0.063,247,247,753
0.06302,246,246,754
0.06304,247,247,753
0.06306,247,247,753
0.06308,246,246,754
0.0631,246,246,754
0.06312,246,246,754
0.06314,247,247,753
0.06316,246,246,754
0.06318,247,247,753
0.0632,249,249,751
0.06322,248,248,752
0.06324,249,249,751
0.06326,248,248,752
0.06328,249,249,751
0.0633,250,250,750
0.06332,249,249,751
0.06334,248,248,752
0.06336,248,248,752
0.06338,248,248,752
0.0634,249,249,751
0.06342,251,251,749
0.06344,251,251,749
0.06346,255,255,745
0.06348,255,255,745
0.0635,256,256,744
0.06352,256,256,744
0.06354,255,255,745
0.06356,253,253,747
0.06358,252,252,748
0.0636,251,251,749
0.06362,252,252,748
0.06364,252,252,748
0.06366,252,252,748
0.06368,253,253,747
0.0637,253,253,747
0.06372,252,252,748
0.06374,252,252,748
0.06376,252,252,748
0.06378,251,251,749
0.0638,251,251,749
0.06382,249,249,751
0.06384,250,250,750
0.06386,250,250,750
0.06388,250,250,750
0.0639,250,250,750
0.06392,251,251,749
0.06394,251,251,749
0.06396,250,250,750
0.06398,249,249,751
0.064,249,249,751
0.06402,249,249,751
0.06404,248,248,752
0.06406,248,248,752
0.06408,249,249,751
0.0641,251,251,749
0.06412,251,251,749
0.06414,252,252,748
0.06416,251,251,749
0.06418,249,249,751
0.0642,245,245,755
0.06422,245,245,755
0.06424,246,246,754
0.06426,246,246,754
0.06428,247,247,753
0.0643,247,247,753
0.06432,247,247,753
0.06434,247,247,753
0.06436,247,247,753
0.06438,249,249,751
0.0644,248,248,752
0.06442,248,248,752
0.06444,249,249,751
0.06446,249,249,751
0.06448,251,251,749
0.0645,252,252,748
0.06452,251,251,749
0.06454,251,251,749
0.06456,252,252,748
0.06458,251,251,749
0.0646,250,250,750
0.06462,250,250,750
0.06464,250,250,750
0.06466,251,251,749
0.06468,252,252,748
0.0647,251,251,749
0.06472,250,250,750
0.06474,251,251,749
0.06476,251,251,749
0.06478,251,251,749
0.0648,252,252,748
0.06482,251,251,749
0.06484,249,249,751
0.06486,248,248,752
0.06488,248,248,752
0.0649,248,248,752
0.06492,247,247,753
0.06494,245,245,755
0.06496,245,245,755
0.06498,244,244,756
0.065,244,244,756
0.06502,245,245,755
0.06504,245,245,755
0.06506,245,245,755
0.06508,246,246,754
0.0651,246,246,754
0.06512,244,244,756
0.06514,245,245,755
0.06516,245,245,755
0.06518,245,245,755
0.0652,244,244,756
0.06522,242,242,758
0.06524,243,243,757
0.06526,243,243,757
0.06528,241,241,759
0.0653,241,241,759
0.06532,239,239,761
0.06534,237,237,763
0.06536,238,238,762
0.06538,237,237,763
0.0654,238,238,762
0.06542,239,239,761
0.06544,239,239,761
0.06546,239,239,761
0.06548,239,239,761
0.0655,238,238,762
0.06552,238,238,762
0.06554,240,240,760
0.06556,239,239,761
0.06558,241,241,759
0.0656,241,241,759
0.06562,238,238,762
0.06564,238,238,762
0.06566,240,240,760
0.06568,241,241,759
0.0657,241,241,759
0.06572,241,241,759
0.06574,240,240,760
0.06576,239,239,761
0.06578,238,238,762
0.0658,237,237,763
0.06582,239,239,761
0.06584,239,239,761
0.06586,240,240,760
0.06588,241,241,759
0.0659,242,242,758
0.06592,244,244,756
0.06594,244,244,756
0.06596,245,245,755
0.06598,245,245,755
0.066,247,247,753
0.06602,246,246,754
0.06604,244,244,756
0.06606,243,243,757
0.06608,244,244,756
0.0661,245,245,755
0.06612,246,246,754
0.06614,246,246,754
0.06616,248,248,752
0.06618,247,247,753
0.0662,247,247,753
0.06622,249,249,751
0.06624,250,250,750
0.06626,251,251,749
0.06628,251,251,749
0.0663,251,251,749
0.06632,251,251,749
0.06634,252,252,748
0.06636,253,253,747
0.06638,252,252,748
0.0664,252,252,748
0.06642,254,254,746
0.06644,253,253,747
0.06646,254,254,746
0.06648,258,258,742
0.0665,259,259,741
0.06652,257,257,743
0.06654,257,257,743
0.06656,256,256,744
0.06658,254,254,746
0.0666,254,254,746
0.06662,253,253,747
0.06664,249,249,751
0.06666,250,250,750
0.06668,250,250,750
0.0667,250,250,750
0.06672,252,252,748
0.06674,251,251,749
0.06676,253,253,747
0.06678,253,253,747
0.0668,254,254,746
0.06682,256,256,744
0.06684,257,257,743
0.06686,256,256,744
0.06688,256,256,744
0.0669,257,257,743
0.06692,257,257,743
0.06694,259,259,741
0.06696,258,258,742
0.06698,259,259,741
0.067,258,258,742
0.06702,259,259,741
0.06704,259,259,741
0.06706,259,259,741
0.06708,259,259,741
0.0671,258,258,742
0.06712,259,259,741
0.06714,259,259,741
0.06716,259,259,741
0.06718,260,260,740
0.0672,260,260,740
0.06722,261,261,739
0.06724,261,261,739
0.06726,262,262,738
0.06728,262,262,738
0.0673,262,262,738
0.06732,261,261,739
0.06734,261,261,739
0.06736,261,261,739
0.06738,261,261,739
0.0674,260,260,740
0.06742,261,261,739
0.06744,261,261,739
0.06746,262,262,738
0.06748,263,263,737
0.0675,264,264,736
0.06752,263,263,737
0.06754,262,262,738
0.06756,261,261,739
0.06758,259,259,741
0.0676,259,259,741
0.06762,260,260,740
0.06764,261,261,739
0.06766,260,260,740
0.06768,261,261,739
0.0677,263,263,737
0.06772,264,264,736
0.06774,263,263,737
0.06776,262,262,738
0.06778,262,262,738
0.0678,262,262,738
0.06782,263,263,737
0.06784,262,262,738
0.06786,262,262,738
0.06788,261,261,739
0.0679,263,263,737
0.06792,262,262,738
0.06794,261,261,739
0.06796,262,262,738
0.06798,262,262,738
0.068,261,261,739
0.06802,260,260,740
0.06804,259,259,741
0.06806,259,259,741
0.06808,260,260,740
0.0681,259,259,741
0.06812,260,260,740
0.06814,261,261,739
0.06816,263,263,737
0.06818,261,261,739
0.0682,261,261,739
0.06822,261,261,739
0.06824,262,262,738
0.06826,263,263,737
0.06828,262,262,738
0.0683,262,262,738
0.06832,262,262,738
0.06834,260,260,740
0.06836,261,261,739
0.06838,260,260,740
0.0684,262,262,738
0.06842,258,258,742
0.06844,258,258,742
0.06846,258,258,742
0.06848,258,258,742
0.0685,258,258,742
0.06852,259,259,741
0.06854,258,258,742
0.06856,258,258,742
0.06858,258,258,742
0.0686,260,260,740
0.06862,259,259,741
0.06864,258,258,742
0.06866,257,257,743
0.06868,256,256,744
0.0687,255,255,745
0.06872,256,256,744
0.06874,256,256,744
0.06876,255,255,745
0.06878,256,256,744
0.0688,255,255,745
0.06882,257,257,743
0.06884,255,255,745
0.06886,256,256,744
0.06888,257,257,743
0.0689,255,255,745
0.06892,256,256,744
0.06894,255,255,745
0.06896,255,255,745
0.06898,255,255,745
0.069,253,253,747
0.06902,252,252,748
0.06904,252,252,748
0.06906,250,250,750
0.06908,250,250,750
0.0691,250,250,750
0.06912,250,250,750
0.06914,251,251,749
0.06916,251,251,749
0.06918,250,250,750
0.0692,251,251,749
0.06922,251,251,749
0.06924,252,252,748
0.06926,252,252,748
0.06928,253,253,747
0.0693,255,255,745
0.06932,257,257,743
0.06934,255,255,745
0.06936,255,255,745
0.06938,256,256,744
0.0694,255,255,745
0.06942,251,251,749
0.06944,251,251,749
0.06946,249,249,751
0.06948,252,252,748
0.0695,252,252,748
0.06952,252,252,748
0.06954,252,252,748
0.06956,251,251,749
0.06958,252,252,748
0.0696,252,252,748
0.06962,252,252,748
0.06964,253,253,747
0.06966,253,253,747
0.06968,252,252,748
0.0697,252,252,748
0.06972,253,253,747
0.06974,254,254,746
0.06976,253,253,747
0.06978,250,250,750
0.0698,250,250,750
0.06982,250,250,750
0.06984,250,250,750
0.06986,250,250,750
0.06988,249,249,751
0.0699,249,249,751
0.06992,249,249,751
0.06994,250,250,750
0.06996,247,247,753
0.06998,246,246,754
0.0699999,248,248,752
